Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,46.09,,,
04/01/2000,44.41,,,
05/01/2000,44.88,,,
06/01/2000,46.28,,,
07/01/2000,48.25,47.1,,
10/01/2000,47.03,47.18,,
11/01/2000,47.19,46.9,,
12/01/2000,46.75,46.63,,
13/01/2000,46.69,46.35,,
14/01/2000,46.84,46.06,,
18/01/2000,45.66,45.71,,
19/01/2000,45.81,44.71,,
20/01/2000,45.31,44.11,,
21/01/2000,44.94,43.29,,
24/01/2000,41.84,42.28,,
25/01/2000,42.62,41.74,,
26/01/2000,41.75,41.98,,
27/01/2000,40.25,41.94,,
28/01/2000,42.25,42.13,,
31/01/2000,43.03,42.41,44.89,-0.06
01/02/2000,42.41,42.17,44.71,-0.06
02/02/2000,42.69,41.71,44.62,-0.07
03/02/2000,41.66,41.43,44.46,-0.07
04/02/2000,41.06,40.89,44.2,-0.08
07/02/2000,40.72,40.36,43.83,-0.09
08/02/2000,41.03,39.89,43.53,-0.09
09/02/2000,40.0,39.51,43.17,-0.09
10/02/2000,39.0,39.28,42.78,-0.09
11/02/2000,38.72,39.26,42.38,-0.08
14/02/2000,38.81,39.38,41.98,-0.07
15/02/2000,39.84,39.38,41.69,-0.06
16/02/2000,39.91,39.48,41.39,-0.05
17/02/2000,39.59,39.12,41.11,-0.05
18/02/2000,38.72,38.51,40.8,-0.06
22/02/2000,39.31,37.79,40.67,-0.07
23/02/2000,38.06,37.33,40.44,-0.08
24/02/2000,36.88,36.66,40.2,-0.1
25/02/2000,36.0,36.39,39.98,-0.1
28/02/2000,36.38,36.38,39.69,-0.09
29/02/2000,36.0,36.53,39.34,-0.08
01/03/2000,36.69,36.31,39.05,-0.07
02/03/2000,36.84,35.96,38.76,-0.08
03/03/2000,36.75,35.72,38.52,-0.08
06/03/2000,35.25,35.62,38.23,-0.07
07/03/2000,34.25,35.36,37.9,-0.07
08/03/2000,35.5,35.31,37.63,-0.07
09/03/2000,36.34,35.73,37.44,-0.05
10/03/2000,35.44,36.33,37.26,-0.03
13/03/2000,35.0,37.04,37.08,-0.0
14/03/2000,36.38,37.91,36.96,0.03
15/03/2000,38.47,38.84,36.89,0.05
16/03/2000,39.91,39.59,36.89,0.07
17/03/2000,39.78,40.12,36.9,0.08
20/03/2000,39.66,40.14,36.94,0.08
21/03/2000,40.12,39.41,36.98,0.06
22/03/2000,41.12,38.45,37.14,0.03
23/03/2000,40.0,37.62,37.29,0.01
24/03/2000,36.12,36.51,37.3,-0.02
27/03/2000,34.88,35.58,37.23,-0.05
28/03/2000,36.0,35.38,37.23,-0.05
29/03/2000,35.53,35.63,37.17,-0.04
30/03/2000,35.38,36.11,37.09,-0.03
31/03/2000,35.12,36.75,37.01,-0.01
03/04/2000,36.12,37.16,37.06,0.0
04/04/2000,38.38,37.54,37.26,0.01
05/04/2000,38.75,37.92,37.43,0.01
06/04/2000,37.44,38.07,37.48,0.02
07/04/2000,37.03,38.02,37.56,0.01
10/04/2000,38.0,38.16,37.71,0.01
11/04/2000,39.12,38.08,37.85,0.01
12/04/2000,38.5,38.23,37.85,0.01
13/04/2000,38.12,38.56,37.76,0.02
14/04/2000,36.66,39.08,37.6,0.04
17/04/2000,38.75,39.62,37.56,0.05
18/04/2000,40.75,40.67,37.59,0.08
19/04/2000,41.12,41.36,37.59,0.09
20/04/2000,40.81,41.48,37.63,0.09
24/04/2000,41.94,41.56,37.92,0.09
25/04/2000,42.16,41.64,38.28,0.08
26/04/2000,41.38,41.53,38.55,0.07
27/04/2000,41.5,41.51,38.85,0.06
28/04/2000,41.25,41.56,39.15,0.06
01/05/2000,41.34,41.57,39.46,0.05
02/05/2000,42.09,41.72,39.75,0.05
03/05/2000,41.62,42.23,39.92,0.06
04/05/2000,41.53,42.51,40.06,0.06
05/05/2000,42.0,42.73,40.28,0.06
08/05/2000,43.88,43.03,40.63,0.05
09/05/2000,43.5,43.18,40.9,0.05
10/05/2000,42.75,43.03,41.08,0.05
11/05/2000,43.03,43.06,41.31,0.04
12/05/2000,42.75,43.22,41.54,0.04
15/05/2000,43.12,43.46,41.86,0.04
16/05/2000,43.66,43.79,42.11,0.04
17/05/2000,43.53,43.85,42.25,0.04
18/05/2000,44.25,43.82,42.4,0.03
19/05/2000,44.38,44.11,42.58,0.03
22/05/2000,43.44,44.19,42.66,0.04
23/05/2000,43.5,44.13,42.73,0.03
24/05/2000,44.97,44.33,42.9,0.03
25/05/2000,44.66,44.58,43.06,0.03
26/05/2000,44.06,44.36,43.2,0.03
30/05/2000,44.47,43.83,43.36,0.01
31/05/2000,44.75,43.41,43.49,-0.0
01/06/2000,43.84,42.93,43.6,-0.02
02/06/2000,42.0,42.35,43.63,-0.03
05/06/2000,42.0,42.07,43.63,-0.04
06/06/2000,42.06,42.28,43.54,-0.03
07/06/2000,41.84,42.36,43.45,-0.03
08/06/2000,42.44,42.75,43.44,-0.02
09/06/2000,43.06,43.35,43.44,-0.0
12/06/2000,42.39,43.93,43.42,0.01
13/06/2000,44.0,44.27,43.46,0.02
14/06/2000,44.88,44.81,43.53,0.03
15/06/2000,45.31,44.87,43.61,0.03
16/06/2000,44.78,44.88,43.64,0.03
19/06/2000,45.09,44.68,43.68,0.02
20/06/2000,44.28,44.69,43.72,0.02
21/06/2000,44.94,45.23,43.79,0.03
22/06/2000,44.28,46.16,43.76,0.05
23/06/2000,44.88,46.98,43.77,0.07
26/06/2000,47.75,47.98,43.95,0.08
27/06/2000,48.97,49.2,44.18,0.1
28/06/2000,49.04,49.75,44.39,0.11
29/06/2000,49.28,50.06,44.66,0.11
30/06/2000,50.94,50.22,45.11,0.1
03/07/2000,50.53,50.34,45.54,0.1
05/07/2000,50.5,50.17,45.96,0.08
06/07/2000,49.84,50.08,46.36,0.07
07/07/2000,49.88,49.79,46.73,0.06
10/07/2000,50.09,49.34,47.08,0.05
11/07/2000,50.09,48.55,47.47,0.02
12/07/2000,49.03,47.97,47.72,0.01
13/07/2000,47.62,47.45,47.86,-0.01
14/07/2000,45.91,46.96,47.89,-0.02
17/07/2000,47.17,46.62,48.01,-0.03
18/07/2000,47.5,46.67,48.13,-0.03
19/07/2000,46.59,46.68,48.24,-0.03
20/07/2000,45.94,46.53,48.29,-0.04
21/07/2000,46.12,46.23,48.38,-0.05
24/07/2000,47.23,46.23,48.5,-0.05
25/07/2000,46.75,46.37,48.45,-0.04
26/07/2000,45.12,46.23,48.26,-0.04
27/07/2000,45.93,46.36,48.1,-0.04
28/07/2000,46.83,46.99,47.98,-0.02
31/07/2000,46.53,47.5,47.76,-0.01
01/08/2000,47.41,47.79,47.6,0.0
02/08/2000,48.25,48.17,47.49,0.01
03/08/2000,48.5,48.36,47.43,0.02
04/08/2000,48.28,48.19,47.35,0.02
07/08/2000,48.43,48.23,47.26,0.02
08/08/2000,48.34,48.36,47.17,0.02
09/08/2000,47.41,48.4,47.09,0.03
10/08/2000,48.7,48.35,47.15,0.02
11/08/2000,48.92,48.65,47.3,0.03
14/08/2000,48.66,48.61,47.37,0.03
15/08/2000,48.05,48.47,47.4,0.02
16/08/2000,48.92,48.44,47.52,0.02
17/08/2000,48.5,48.6,47.64,0.02
18/08/2000,48.21,48.51,47.75,0.02
21/08/2000,48.5,48.44,47.81,0.01
22/08/2000,48.88,48.34,47.92,0.01
23/08/2000,48.47,48.11,48.09,0.0
24/08/2000,48.12,47.64,48.19,-0.01
25/08/2000,47.72,47.07,48.24,-0.02
28/08/2000,47.38,46.64,48.28,-0.03
29/08/2000,46.5,46.36,48.24,-0.04
30/08/2000,45.62,46.21,48.1,-0.04
31/08/2000,45.98,46.23,47.98,-0.04
01/09/2000,46.31,46.45,47.88,-0.03
05/09/2000,46.62,46.7,47.79,-0.02
06/09/2000,46.62,46.94,47.7,-0.02
07/09/2000,46.72,47.28,47.67,-0.01
08/09/2000,47.23,47.72,47.6,0.0
11/09/2000,47.5,47.97,47.53,0.01
12/09/2000,48.31,48.02,47.51,0.01
13/09/2000,48.81,47.73,47.55,0.0
14/09/2000,47.97,47.25,47.5,-0.01
15/09/2000,47.5,46.6,47.45,-0.02
18/09/2000,46.06,46.43,47.34,-0.02
19/09/2000,45.91,46.51,47.21,-0.02
20/09/2000,45.54,46.89,47.05,-0.0
21/09/2000,47.12,47.16,46.98,0.0
22/09/2000,47.94,47.56,46.97,0.01
25/09/2000,47.93,47.47,46.98,0.01
26/09/2000,47.25,47.28,46.97,0.01
27/09/2000,47.55,47.01,47.03,-0.0
28/09/2000,46.69,46.81,47.08,-0.01
29/09/2000,46.97,46.33,47.13,-0.02
02/10/2000,46.59,46.3,47.14,-0.02
03/10/2000,46.25,46.14,47.12,-0.02
04/10/2000,45.16,45.95,47.05,-0.02
05/10/2000,46.53,46.16,47.04,-0.02
06/10/2000,46.16,46.73,46.99,-0.01
09/10/2000,45.66,47.13,46.89,0.01
10/10/2000,47.31,47.48,46.84,0.01
11/10/2000,48.0,48.04,46.8,0.03
12/10/2000,48.5,48.28,46.83,0.03
13/10/2000,47.91,48.11,46.85,0.03
16/10/2000,48.47,47.58,46.97,0.01
17/10/2000,48.53,47.19,47.1,0.0
18/10/2000,47.12,46.65,47.18,-0.01
19/10/2000,45.88,46.11,47.12,-0.02
20/10/2000,45.94,46.08,47.02,-0.02
23/10/2000,45.78,46.22,46.91,-0.02
24/10/2000,45.84,46.31,46.84,-0.01
25/10/2000,46.97,46.59,46.81,-0.0
26/10/2000,46.56,46.63,46.81,-0.0
27/10/2000,46.38,46.34,46.78,-0.01
30/10/2000,47.19,46.01,46.81,-0.02
31/10/2000,46.06,45.91,46.8,-0.02
01/11/2000,45.5,45.68,46.81,-0.03
02/11/2000,44.94,45.68,46.73,-0.02
03/11/2000,45.84,45.92,46.72,-0.02
06/11/2000,46.03,46.29,46.74,-0.01
07/11/2000,46.06,46.56,46.68,-0.0
08/11/2000,46.72,46.66,46.61,0.0
09/11/2000,46.78,46.91,46.53,0.01
10/11/2000,47.22,47.07,46.49,0.01
13/11/2000,46.53,47.13,46.39,0.02
14/11/2000,47.31,47.2,46.33,0.02
15/11/2000,47.5,47.51,46.35,0.02
16/11/2000,47.09,47.83,46.41,0.03
17/11/2000,47.56,47.98,46.49,0.03
20/11/2000,48.09,48.06,46.61,0.03
