Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,21.84,,,
04/01/2000,20.85,,,
05/01/2000,21.04,,,
06/01/2000,21.14,,,
07/01/2000,20.45,20.83,,
10/01/2000,20.95,20.89,,
11/01/2000,21.14,21.06,,
12/01/2000,20.45,21.24,,
13/01/2000,21.44,21.38,,
14/01/2000,21.34,21.46,,
17/01/2000,21.84,21.34,,
18/01/2000,21.84,21.24,,
19/01/2000,20.85,21.08,,
20/01/2000,20.85,20.89,,
21/01/2000,20.85,20.85,,
24/01/2000,21.04,20.83,,
25/01/2000,20.85,20.83,,
26/01/2000,20.65,20.71,,
27/01/2000,20.75,20.61,,
28/01/2000,20.85,20.57,21.05,-0.02
31/01/2000,20.45,20.59,20.98,-0.02
01/02/2000,20.35,20.55,20.96,-0.02
02/02/2000,20.45,20.57,20.93,-0.02
03/02/2000,20.85,20.59,20.91,-0.02
04/02/2000,20.65,20.55,20.92,-0.02
07/02/2000,20.55,20.41,20.9,-0.02
08/02/2000,20.45,20.25,20.87,-0.03
09/02/2000,20.25,20.11,20.86,-0.04
10/02/2000,20.15,19.99,20.79,-0.04
11/02/2000,19.85,19.81,20.72,-0.05
14/02/2000,19.85,19.85,20.62,-0.04
15/02/2000,19.85,19.81,20.52,-0.04
16/02/2000,19.36,19.75,20.44,-0.04
17/02/2000,20.35,19.69,20.42,-0.04
18/02/2000,19.65,19.76,20.36,-0.03
21/02/2000,19.56,19.7,20.29,-0.03
22/02/2000,19.56,19.72,20.22,-0.03
23/02/2000,19.7,19.68,20.17,-0.02
24/02/2000,20.05,19.59,20.14,-0.03
25/02/2000,19.75,19.52,20.08,-0.03
28/02/2000,19.36,19.22,20.03,-0.04
29/02/2000,19.06,18.94,19.97,-0.05
01/03/2000,19.36,18.78,19.91,-0.06
02/03/2000,18.56,18.72,19.8,-0.06
03/03/2000,18.36,18.62,19.68,-0.06
06/03/2000,18.56,18.68,19.58,-0.05
07/03/2000,18.76,18.87,19.5,-0.03
08/03/2000,18.86,19.13,19.43,-0.02
09/03/2000,18.86,19.35,19.36,-0.0
10/03/2000,19.31,19.45,19.34,0.01
13/03/2000,19.85,19.66,19.34,0.02
14/03/2000,19.85,19.83,19.34,0.03
15/03/2000,19.36,19.83,19.34,0.03
16/03/2000,19.95,19.83,19.32,0.03
17/03/2000,20.15,20.03,19.34,0.03
20/03/2000,19.85,20.11,19.36,0.04
21/03/2000,19.85,20.09,19.37,0.04
22/03/2000,20.35,20.13,19.4,0.04
23/03/2000,20.35,20.13,19.42,0.03
24/03/2000,20.05,20.09,19.43,0.03
27/03/2000,20.05,20.05,19.47,0.03
28/03/2000,19.85,20.01,19.51,0.03
29/03/2000,20.15,19.99,19.55,0.02
30/03/2000,20.15,20.15,19.63,0.03
31/03/2000,19.85,20.09,19.7,0.02
03/04/2000,19.95,20.17,19.77,0.02
04/04/2000,20.65,20.31,19.87,0.02
05/04/2000,19.85,20.29,19.92,0.02
06/04/2000,20.55,20.09,20.0,0.0
07/04/2000,20.55,20.29,20.06,0.01
10/04/2000,19.85,20.15,20.06,0.0
11/04/2000,19.65,20.01,20.05,-0.0
12/04/2000,20.85,20.15,20.13,0.0
13/04/2000,19.85,20.29,20.12,0.01
14/04/2000,19.85,20.11,20.11,0.0
17/04/2000,20.55,20.13,20.14,-0.0
18/04/2000,20.35,20.13,20.17,-0.0
19/04/2000,19.95,19.99,20.15,-0.01
20/04/2000,19.95,19.89,20.13,-0.01
25/04/2000,19.85,20.4,20.12,0.01
26/04/2000,19.85,20.9,20.11,0.04
27/04/2000,19.85,21.39,20.11,0.06
28/04/2000,22.48,21.73,20.22,0.07
02/05/2000,22.43,22.03,20.34,0.08
03/05/2000,22.34,21.8,20.46,0.06
04/05/2000,21.54,21.48,20.54,0.04
05/05/2000,21.34,21.54,20.58,0.05
08/05/2000,21.34,21.64,20.65,0.05
09/05/2000,20.85,21.9,20.66,0.06
10/05/2000,22.63,22.14,20.77,0.06
11/05/2000,22.04,22.43,20.88,0.07
12/05/2000,22.63,22.47,21.03,0.06
15/05/2000,22.53,22.53,21.11,0.06
16/05/2000,22.34,22.37,21.24,0.05
17/05/2000,22.83,22.06,21.38,0.03
18/05/2000,22.34,21.82,21.47,0.02
19/05/2000,21.84,21.42,21.55,-0.01
22/05/2000,20.95,21.18,21.6,-0.02
23/05/2000,21.14,20.97,21.66,-0.03
24/05/2000,20.85,20.95,21.71,-0.04
25/05/2000,21.14,20.93,21.77,-0.04
26/05/2000,20.75,21.02,21.82,-0.04
29/05/2000,20.85,21.02,21.73,-0.03
30/05/2000,21.04,21.14,21.67,-0.02
31/05/2000,21.34,21.24,21.62,-0.02
01/06/2000,21.14,21.4,21.6,-0.01
02/06/2000,21.34,21.74,21.6,0.01
05/06/2000,21.34,22.18,21.6,0.03
06/06/2000,21.84,22.67,21.65,0.05
07/06/2000,23.03,23.33,21.67,0.07
08/06/2000,23.33,23.67,21.73,0.08
09/06/2000,23.82,23.88,21.79,0.09
12/06/2000,24.62,24.0,21.89,0.09
13/06/2000,23.53,24.0,21.95,0.09
14/06/2000,24.12,23.85,22.02,0.08
15/06/2000,23.92,24.03,22.1,0.08
16/06/2000,23.82,23.93,22.2,0.07
19/06/2000,23.87,23.73,22.34,0.06
20/06/2000,24.42,23.64,22.51,0.05
21/06/2000,23.63,23.55,22.65,0.04
22/06/2000,22.93,23.28,22.73,0.02
23/06/2000,23.33,22.98,22.86,0.0
26/06/2000,23.43,22.76,22.99,-0.01
27/06/2000,23.08,22.48,23.09,-0.03
28/06/2000,22.14,22.17,23.13,-0.04
29/06/2000,21.84,22.02,23.17,-0.05
30/06/2000,21.94,21.88,23.2,-0.06
03/07/2000,21.84,21.64,23.22,-0.07
04/07/2000,22.34,21.2,23.25,-0.09
05/07/2000,21.44,20.61,23.17,-0.12
06/07/2000,20.65,19.72,23.03,-0.16
07/07/2000,19.75,19.08,22.83,-0.19
10/07/2000,18.86,18.56,22.54,-0.21
11/07/2000,17.92,18.19,22.26,-0.23
12/07/2000,18.2,17.99,21.97,-0.22
13/07/2000,18.07,17.91,21.67,-0.21
14/07/2000,17.92,17.83,21.38,-0.2
17/07/2000,17.87,17.76,21.08,-0.19
18/07/2000,17.52,17.74,20.73,-0.17
