Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,4.47,,,
04/01/2000,4.1,,,
05/01/2000,3.49,,,
06/01/2000,3.28,,,
07/01/2000,3.48,3.35,,
10/01/2000,3.46,3.35,,
11/01/2000,3.34,3.3,,
12/01/2000,3.18,3.25,,
13/01/2000,3.3,3.25,,
14/01/2000,3.21,3.26,,
18/01/2000,3.21,3.22,,
19/01/2000,3.34,3.28,,
20/01/2000,3.24,3.33,,
21/01/2000,3.1,3.31,,
24/01/2000,3.51,3.33,,
25/01/2000,3.46,3.33,,
26/01/2000,3.24,3.27,,
27/01/2000,3.35,3.25,,
28/01/2000,3.08,3.3,,
31/01/2000,3.23,3.47,3.4,0.02
01/02/2000,3.37,3.64,3.35,0.09
02/02/2000,3.47,3.75,3.32,0.12
03/02/2000,4.21,3.9,3.35,0.13
04/02/2000,3.93,4.01,3.39,0.16
07/02/2000,3.75,3.93,3.4,0.14
08/02/2000,4.16,3.91,3.43,0.11
09/02/2000,4.01,3.9,3.47,0.11
10/02/2000,3.81,3.81,3.5,0.08
11/02/2000,3.81,3.71,3.52,0.05
14/02/2000,3.72,3.64,3.55,0.02
15/02/2000,3.69,3.53,3.57,-0.01
16/02/2000,3.53,3.42,3.58,-0.05
17/02/2000,3.45,3.38,3.59,-0.06
18/02/2000,3.24,3.36,3.6,-0.07
22/02/2000,3.18,3.36,3.58,-0.07
23/02/2000,3.52,3.37,3.59,-0.06
24/02/2000,3.42,3.43,3.6,-0.05
25/02/2000,3.46,3.38,3.6,-0.06
28/02/2000,3.29,3.32,3.61,-0.09
29/02/2000,3.44,3.26,3.62,-0.11
01/03/2000,3.29,3.24,3.62,-0.12
02/03/2000,3.13,3.18,3.6,-0.13
03/03/2000,3.12,3.16,3.55,-0.12
06/03/2000,3.2,3.22,3.51,-0.09
07/03/2000,3.17,3.27,3.48,-0.07
08/03/2000,3.18,3.28,3.43,-0.05
09/03/2000,3.44,3.3,3.41,-0.03
10/03/2000,3.34,3.3,3.38,-0.02
13/03/2000,3.27,3.28,3.35,-0.02
14/03/2000,3.28,3.26,3.33,-0.02
15/03/2000,3.19,3.25,3.31,-0.02
16/03/2000,3.31,3.31,3.3,0.01
17/03/2000,3.24,3.38,3.29,0.03
20/03/2000,3.21,3.4,3.28,0.04
21/03/2000,3.62,3.48,3.31,0.05
22/03/2000,3.53,3.57,3.31,0.07
23/03/2000,3.38,3.54,3.31,0.07
24/03/2000,3.63,3.5,3.31,0.05
27/03/2000,3.66,3.49,3.33,0.04
28/03/2000,3.51,3.43,3.34,0.03
29/03/2000,3.31,3.33,3.34,-0.0
30/03/2000,3.33,3.27,3.35,-0.02
31/03/2000,3.35,3.23,3.36,-0.04
03/04/2000,3.18,3.21,3.36,-0.05
04/04/2000,3.2,3.22,3.36,-0.04
