Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,40.19,,,
04/01/2000,40.12,,,
05/01/2000,42.62,,,
06/01/2000,43.06,,,
07/01/2000,44.31,43.4,,
10/01/2000,43.69,43.26,,
11/01/2000,42.88,43.2,,
12/01/2000,43.06,43.46,,
13/01/2000,42.38,44.41,,
14/01/2000,44.0,45.1,,
18/01/2000,45.0,45.76,,
19/01/2000,47.62,45.83,,
20/01/2000,46.5,45.96,,
21/01/2000,45.69,45.67,,
24/01/2000,44.31,45.39,,
25/01/2000,45.69,45.17,,
26/01/2000,46.19,45.21,,
27/01/2000,45.06,44.83,,
28/01/2000,44.62,44.51,,
31/01/2000,44.5,44.19,44.08,0.0
01/02/2000,43.75,44.06,44.25,-0.0
02/02/2000,44.62,43.52,44.48,-0.02
03/02/2000,43.44,42.98,44.52,-0.04
04/02/2000,44.0,41.85,44.57,-0.06
07/02/2000,41.81,41.11,44.44,-0.08
08/02/2000,41.0,40.29,44.31,-0.1
09/02/2000,39.0,39.58,44.11,-0.12
10/02/2000,39.75,39.08,43.95,-0.12
11/02/2000,39.88,38.73,43.82,-0.13
14/02/2000,38.25,38.27,43.53,-0.14
15/02/2000,38.5,37.5,43.21,-0.15
16/02/2000,37.25,37.62,42.69,-0.14
17/02/2000,37.5,37.35,42.24,-0.13
18/02/2000,36.0,37.21,41.76,-0.13
22/02/2000,38.88,37.27,41.48,-0.11
23/02/2000,37.12,37.48,41.06,-0.1
24/02/2000,36.56,37.09,40.58,-0.1
25/02/2000,37.81,36.92,40.21,-0.09
28/02/2000,37.0,36.8,39.83,-0.08
29/02/2000,36.94,36.42,39.45,-0.08
01/03/2000,36.31,36.05,39.08,-0.08
02/03/2000,35.94,35.61,38.65,-0.08
03/03/2000,35.94,35.02,38.27,-0.09
06/03/2000,35.12,34.59,37.83,-0.09
07/03/2000,34.75,33.88,37.48,-0.1
08/03/2000,33.38,33.38,37.09,-0.11
09/03/2000,33.75,33.04,36.83,-0.11
10/03/2000,32.38,33.34,36.46,-0.1
13/03/2000,32.62,33.71,36.1,-0.07
14/03/2000,33.06,34.84,35.84,-0.03
15/03/2000,34.88,35.71,35.66,0.0
16/03/2000,35.62,36.41,35.58,0.02
17/03/2000,38.0,36.69,35.6,0.03
20/03/2000,37.0,36.59,35.65,0.03
21/03/2000,36.56,36.19,35.54,0.02
22/03/2000,36.25,36.21,35.49,0.02
23/03/2000,35.12,36.5,35.42,0.03
24/03/2000,36.0,36.83,35.33,0.04
27/03/2000,37.12,37.52,35.34,0.06
28/03/2000,38.0,37.89,35.39,0.07
29/03/2000,37.88,37.9,35.47,0.06
30/03/2000,38.62,37.76,35.6,0.06
31/03/2000,37.81,37.4,35.7,0.05
03/04/2000,37.19,36.9,35.8,0.03
04/04/2000,37.31,36.48,35.93,0.01
05/04/2000,36.06,36.05,36.06,-0.0
06/04/2000,36.12,35.73,36.18,-0.01
07/04/2000,35.69,36.04,36.35,-0.01
10/04/2000,35.06,36.21,36.47,-0.01
11/04/2000,35.69,36.15,36.6,-0.01
12/04/2000,37.62,36.2,36.74,-0.01
13/04/2000,37.0,36.01,36.81,-0.02
14/04/2000,35.38,35.94,36.67,-0.02
17/04/2000,35.31,36.55,36.59,-0.0
18/04/2000,34.75,37.05,36.5,0.02
19/04/2000,37.25,37.79,36.55,0.03
20/04/2000,40.06,38.83,36.8,0.05
24/04/2000,37.88,39.34,36.89,0.06
25/04/2000,39.0,39.26,36.98,0.06
26/04/2000,39.94,39.5,37.08,0.06
27/04/2000,39.81,39.29,37.18,0.05
28/04/2000,39.69,38.76,37.23,0.04
01/05/2000,39.06,38.44,37.29,0.03
02/05/2000,37.94,38.4,37.33,0.03
03/05/2000,37.31,38.24,37.33,0.02
04/05/2000,38.19,38.31,37.44,0.02
05/05/2000,39.5,38.23,37.61,0.02
08/05/2000,38.25,38.05,37.73,0.01
09/05/2000,38.31,37.59,37.9,-0.01
10/05/2000,36.88,37.38,37.96,-0.02
11/05/2000,37.31,37.19,37.94,-0.02
12/05/2000,37.19,37.29,37.95,-0.02
15/05/2000,37.19,37.35,38.04,-0.02
16/05/2000,37.38,37.3,38.14,-0.02
17/05/2000,37.38,37.17,38.27,-0.03
18/05/2000,37.62,37.12,38.29,-0.03
19/05/2000,36.94,37.42,38.14,-0.02
22/05/2000,36.56,37.58,38.07,-0.01
23/05/2000,37.12,37.84,37.98,-0.0
24/05/2000,38.88,38.44,37.92,0.01
25/05/2000,38.38,38.83,37.85,0.03
26/05/2000,38.25,39.1,37.78,0.03
30/05/2000,39.56,39.4,37.81,0.04
31/05/2000,39.06,39.54,37.86,0.04
01/06/2000,40.25,39.6,38.01,0.04
02/06/2000,39.88,39.5,38.09,0.04
05/06/2000,38.94,39.09,38.07,0.03
06/06/2000,39.88,38.95,38.15,0.02
07/06/2000,38.56,38.79,38.16,0.02
08/06/2000,38.19,38.58,38.23,0.01
09/06/2000,39.19,38.62,38.32,0.01
12/06/2000,38.12,39.06,38.37,0.02
13/06/2000,38.81,39.08,38.45,0.02
14/06/2000,38.81,39.25,38.52,0.02
15/06/2000,40.38,39.35,38.67,0.02
16/06/2000,39.25,39.55,38.75,0.02
19/06/2000,39.0,39.26,38.85,0.01
20/06/2000,39.31,39.39,38.99,0.01
21/06/2000,39.81,39.54,39.12,0.01
22/06/2000,38.94,39.67,39.13,0.01
23/06/2000,39.88,39.82,39.2,0.02
26/06/2000,39.75,40.22,39.28,0.02
27/06/2000,40.0,40.61,39.3,0.03
28/06/2000,40.54,40.99,39.37,0.04
29/06/2000,40.94,41.56,39.41,0.05
30/06/2000,41.81,42.05,39.5,0.06
03/07/2000,41.69,42.61,39.64,0.07
05/07/2000,42.81,42.85,39.79,0.07
06/07/2000,43.0,43.38,40.01,0.08
07/07/2000,43.75,43.59,40.29,0.08
10/07/2000,43.0,43.9,40.48,0.08
11/07/2000,44.31,44.04,40.79,0.07
12/07/2000,43.88,44.23,41.04,0.07
13/07/2000,44.56,44.39,41.33,0.07
14/07/2000,44.44,44.79,41.53,0.07
17/07/2000,43.97,45.09,41.77,0.08
18/07/2000,45.12,45.57,42.08,0.08
19/07/2000,45.88,46.4,42.4,0.09
20/07/2000,46.06,47.1,42.72,0.1
21/07/2000,46.81,47.52,43.11,0.09
24/07/2000,48.12,47.96,43.52,0.09
25/07/2000,48.62,48.36,43.97,0.09
26/07/2000,48.0,48.5,44.37,0.09
27/07/2000,48.25,48.51,44.75,0.08
28/07/2000,48.81,48.89,45.15,0.08
31/07/2000,48.81,49.04,45.5,0.07
01/08/2000,48.69,49.08,45.85,0.07
02/08/2000,49.88,49.12,46.2,0.06
03/08/2000,49.0,49.1,46.5,0.05
04/08/2000,49.0,48.67,46.76,0.04
07/08/2000,49.06,48.65,47.06,0.03
08/08/2000,48.56,48.77,47.28,0.03
09/08/2000,47.75,48.86,47.47,0.03
10/08/2000,48.88,48.6,47.69,0.02
11/08/2000,49.62,48.29,47.95,0.01
14/08/2000,49.5,47.69,48.22,-0.01
15/08/2000,47.25,46.9,48.33,-0.03
16/08/2000,46.19,46.55,48.34,-0.04
17/08/2000,45.88,46.96,48.33,-0.03
18/08/2000,45.69,47.84,48.28,-0.01
21/08/2000,47.75,49.39,48.26,0.02
22/08/2000,49.31,51.08,48.29,0.06
23/08/2000,50.56,52.17,48.42,0.07
24/08/2000,53.62,52.77,48.69,0.08
25/08/2000,54.12,53.16,48.96,0.08
28/08/2000,53.25,53.17,49.18,0.07
29/08/2000,52.31,53.29,49.36,0.08
30/08/2000,52.5,53.73,49.49,0.08
31/08/2000,53.64,54.83,49.72,0.1
01/09/2000,54.75,56.03,50.01,0.11
05/09/2000,55.44,56.92,50.33,0.12
06/09/2000,57.81,57.7,50.79,0.12
07/09/2000,58.5,58.41,51.33,0.12
08/09/2000,58.12,58.74,51.79,0.12
11/09/2000,58.62,58.71,52.24,0.11
12/09/2000,59.0,58.46,52.72,0.1
13/09/2000,59.44,58.12,53.33,0.08
14/09/2000,58.38,57.67,53.94,0.06
15/09/2000,56.88,57.6,54.49,0.05
18/09/2000,56.94,57.92,55.05,0.05
19/09/2000,56.75,59.25,55.5,0.07
20/09/2000,59.06,60.64,55.99,0.08
21/09/2000,60.0,62.5,56.46,0.1
22/09/2000,63.5,63.6,56.95,0.1
25/09/2000,63.88,64.5,57.44,0.11
26/09/2000,66.06,64.7,58.08,0.1
27/09/2000,64.56,63.61,58.69,0.08
28/09/2000,64.5,62.38,59.29,0.05
29/09/2000,64.5,61.69,59.83,0.03
02/10/2000,58.44,61.0,60.02,0.02
03/10/2000,59.88,60.3,60.24,0.0
04/10/2000,61.12,60.5,60.41,0.0
05/10/2000,61.06,60.44,60.53,-0.0
06/10/2000,61.0,60.25,60.68,-0.01
09/10/2000,59.44,59.26,60.72,-0.02
10/10/2000,59.56,58.81,60.75,-0.03
11/10/2000,60.19,58.96,60.78,-0.03
12/10/2000,56.12,59.15,60.67,-0.03
13/10/2000,58.75,59.26,60.77,-0.03
16/10/2000,60.19,59.73,60.93,-0.02
17/10/2000,60.5,59.98,61.12,-0.02
18/10/2000,60.75,60.19,61.2,-0.02
19/10/2000,58.44,60.29,61.12,-0.01
20/10/2000,60.0,60.65,60.95,-0.0
23/10/2000,61.25,61.58,60.82,0.01
24/10/2000,61.0,62.33,60.56,0.03
25/10/2000,62.56,63.01,60.46,0.04
26/10/2000,63.06,64.38,60.39,0.06
27/10/2000,63.75,65.01,60.35,0.07
30/10/2000,64.69,65.62,60.67,0.08
31/10/2000,67.81,66.09,61.06,0.07
01/11/2000,65.75,66.36,61.29,0.08
02/11/2000,66.12,65.84,61.55,0.06
03/11/2000,66.06,65.69,61.8,0.06
06/11/2000,66.06,65.6,62.13,0.05
07/11/2000,65.19,65.09,62.41,0.04
08/11/2000,65.0,64.44,62.65,0.03
09/11/2000,65.69,64.28,63.13,0.02
10/11/2000,63.5,63.99,63.37,0.01
13/11/2000,62.81,64.01,63.5,0.01
14/11/2000,64.38,64.39,63.69,0.01
15/11/2000,63.56,64.94,63.83,0.02
16/11/2000,65.81,65.79,64.2,0.02
17/11/2000,65.38,66.1,64.47,0.02
20/11/2000,65.56,66.08,64.69,0.02
21/11/2000,68.62,66.47,65.07,0.02
22/11/2000,65.12,66.86,65.2,0.03
24/11/2000,65.69,67.12,65.33,0.03
27/11/2000,67.38,67.91,65.51,0.04
28/11/2000,67.5,67.94,65.65,0.03
29/11/2000,69.94,67.42,65.76,0.02
30/11/2000,69.06,67.71,65.92,0.03
01/12/2000,65.81,67.2,65.91,0.02
04/12/2000,64.81,66.75,65.84,0.01
05/12/2000,68.94,67.58,65.99,0.02
06/12/2000,67.38,68.29,66.1,0.03
