Date,Close,5DayMAV,20DayMAV,DIFof2Av
17/07/2014,623.01,,,
18/07/2014,629.7,,,
19/07/2014,627.53,,,
20/07/2014,624.66,,,
21/07/2014,620.0,626.23,,
22/07/2014,619.01,624.98,,
23/07/2014,619.01,624.18,,
24/07/2014,603.0,622.04,,
25/07/2014,600.83,617.14,,
26/07/2014,595.05,612.37,,
27/07/2014,591.79,607.38,,
28/07/2014,587.73,601.94,,
29/07/2014,583.22,595.68,,
30/07/2014,561.24,591.72,,
31/07/2014,582.03,583.81,,
01/08/2014,596.76,581.2,,
02/08/2014,588.91,582.2,,
03/08/2014,588.73,582.43,,
04/08/2014,588.3,583.53,,
05/08/2014,580.35,588.95,600.54,-0.02
06/08/2014,581.17,588.61,598.45,-0.02
07/08/2014,585.01,585.49,596.22,-0.02
08/08/2014,588.02,584.71,594.24,-0.02
09/08/2014,587.79,584.57,592.4,-0.01
10/08/2014,588.75,584.47,590.84,-0.01
11/08/2014,572.7,586.15,588.52,-0.0
12/08/2014,567.18,584.45,585.93,-0.0
13/08/2014,548.8,580.89,583.22,-0.0
14/08/2014,507.02,573.04,578.53,-0.01
15/08/2014,500.21,556.89,573.79,-0.03
16/08/2014,521.97,539.18,570.29,-0.06
17/08/2014,497.65,529.04,565.79,-0.07
18/08/2014,472.83,515.13,560.27,-0.1
19/08/2014,491.54,499.94,556.79,-0.12
20/08/2014,516.39,496.84,553.5,-0.11
21/08/2014,519.28,500.08,549.63,-0.1
22/08/2014,513.06,499.54,545.84,-0.09
23/08/2014,494.56,502.62,541.13,-0.08
24/08/2014,506.09,506.97,537.02,-0.06
25/08/2014,501.73,509.88,533.09,-0.05
26/08/2014,512.14,506.94,529.64,-0.04
27/08/2014,510.22,505.52,525.9,-0.04
28/08/2014,506.0,504.95,521.8,-0.03
29/08/2014,507.95,507.24,517.8,-0.02
30/08/2014,500.85,507.61,513.41,-0.01
31/08/2014,477.75,507.43,508.66,-0.0
01/09/2014,474.54,500.55,504.03,-0.01
02/09/2014,474.12,493.42,500.3,-0.01
03/09/2014,472.56,487.04,498.57,-0.02
04/09/2014,487.44,479.96,497.93,-0.04
05/09/2014,477.02,477.28,495.69,-0.04
06/09/2014,478.41,477.14,494.72,-0.04
07/09/2014,476.37,477.91,494.9,-0.04
08/09/2014,467.23,478.36,493.69,-0.03
09/09/2014,473.27,477.29,491.53,-0.03
10/09/2014,476.59,474.46,489.4,-0.03
11/09/2014,475.9,474.37,487.54,-0.03
12/09/2014,472.81,473.87,486.45,-0.03
13/09/2014,476.88,473.16,484.99,-0.02
14/09/2014,474.13,475.09,483.61,-0.02
15/09/2014,469.26,475.26,481.46,-0.01
16/09/2014,462.02,473.8,479.06,-0.01
17/09/2014,452.09,471.02,476.36,-0.01
18/09/2014,425.02,466.88,472.21,-0.01
19/09/2014,395.7,456.5,466.96,-0.03
20/09/2014,408.75,440.82,463.51,-0.06
21/09/2014,399.75,428.72,459.77,-0.08
22/09/2014,399.0,416.26,456.01,-0.1
23/09/2014,439.36,405.64,454.35,-0.11
24/09/2014,422.58,408.51,451.11,-0.1
25/09/2014,408.77,413.89,447.69,-0.08
26/09/2014,403.57,413.89,443.95,-0.07
27/09/2014,399.15,414.66,440.09,-0.06
28/09/2014,375.21,414.69,435.49,-0.06
29/09/2014,373.17,401.86,430.49,-0.08
30/09/2014,389.54,391.97,426.13,-0.09
01/10/2014,382.96,388.13,421.49,-0.09
02/10/2014,372.0,384.01,416.45,-0.09
03/10/2014,357.49,378.58,410.48,-0.09
04/10/2014,326.21,375.03,403.08,-0.09
05/10/2014,321.33,365.64,395.68,-0.09
06/10/2014,327.93,352.0,388.98,-0.11
07/10/2014,333.89,340.99,383.07,-0.13
08/10/2014,355.71,333.37,379.6,-0.13
09/10/2014,364.0,333.01,378.02,-0.12
10/10/2014,360.0,340.57,375.58,-0.1
11/10/2014,362.61,348.31,373.72,-0.07
12/10/2014,378.11,355.24,372.68,-0.05
13/10/2014,392.6,364.09,370.34,-0.02
14/10/2014,402.01,371.46,369.31,0.01
15/10/2014,393.55,379.07,368.55,0.03
16/10/2014,382.6,385.78,367.5,0.05
17/10/2014,382.14,389.77,366.65,0.06
18/10/2014,390.79,390.58,367.43,0.06
19/10/2014,387.61,390.22,368.15,0.06
20/10/2014,380.63,387.34,367.71,0.05
21/10/2014,384.08,384.75,367.76,0.04
22/10/2014,382.04,385.05,368.27,0.04
23/10/2014,356.55,385.03,368.22,0.05
24/10/2014,356.72,378.18,369.75,0.02
25/10/2014,347.74,372.0,371.07,0.0
26/10/2014,354.37,365.43,372.39,-0.02
27/10/2014,350.0,359.48,373.19,-0.04
28/10/2014,354.78,353.08,373.15,-0.06
29/10/2014,335.7,352.72,371.73,-0.06
30/10/2014,345.24,348.52,370.99,-0.07
31/10/2014,337.09,348.02,369.72,-0.06
01/11/2014,324.53,344.56,367.04,-0.07
02/11/2014,322.83,339.47,363.55,-0.07
03/11/2014,325.51,333.08,359.72,-0.08
04/11/2014,329.66,331.04,356.53,-0.08
05/11/2014,337.35,327.92,354.27,-0.08
06/11/2014,349.79,327.98,352.65,-0.07
07/11/2014,341.97,333.03,350.21,-0.05
08/11/2014,345.38,336.86,348.1,-0.03
09/11/2014,364.76,340.83,347.3,-0.02
10/11/2014,366.43,347.85,346.42,0.0
11/11/2014,369.05,353.67,345.77,0.02
12/11/2014,426.02,357.52,349.25,0.02
13/11/2014,417.85,374.33,352.3,0.05
14/11/2014,399.71,388.82,354.9,0.08
15/11/2014,376.11,395.81,355.99,0.11
16/11/2014,389.76,397.75,357.98,0.1
17/11/2014,387.62,401.89,359.62,0.11
18/11/2014,373.95,394.21,361.53,0.09
19/11/2014,378.29,385.43,363.18,0.06
20/11/2014,356.24,381.15,364.14,0.05
21/11/2014,350.28,377.17,365.43,0.03
22/11/2014,353.01,369.28,366.94,0.01
23/11/2014,367.18,362.35,369.02,-0.02
24/11/2014,374.62,361.0,371.27,-0.03
25/11/2014,378.28,360.27,373.31,-0.03
26/11/2014,368.4,364.67,374.25,-0.03
27/11/2014,369.3,368.3,375.61,-0.02
28/11/2014,375.68,371.56,377.13,-0.01
29/11/2014,375.21,373.26,377.65,-0.01
30/11/2014,375.48,373.37,378.1,-0.01
01/12/2014,376.51,372.81,378.48,-0.02
02/12/2014,379.57,374.44,376.15,-0.0
03/12/2014,376.29,376.49,374.07,0.01
04/12/2014,367.8,376.61,372.48,0.01
05/12/2014,375.13,375.13,372.43,0.01
06/12/2014,374.01,375.06,371.64,0.01
07/12/2014,376.0,374.56,371.06,0.01
08/12/2014,362.17,373.85,370.47,0.01
09/12/2014,350.79,371.02,369.1,0.01
10/12/2014,345.2,367.62,368.55,-0.0
11/12/2014,348.63,361.63,368.46,-0.02
12/12/2014,352.23,356.56,368.42,-0.03
13/12/2014,350.19,351.8,367.57,-0.05
14/12/2014,356.52,349.41,366.67,-0.05
15/12/2014,347.93,350.55,365.15,-0.04
16/12/2014,328.65,351.1,363.16,-0.04
17/12/2014,320.72,347.1,360.74,-0.04
18/12/2014,312.48,340.8,357.58,-0.05
19/12/2014,318.57,333.26,354.74,-0.07
20/12/2014,330.21,325.67,352.48,-0.08
21/12/2014,320.01,322.13,349.66,-0.09
22/12/2014,331.53,320.4,347.25,-0.08
23/12/2014,335.41,322.56,345.21,-0.07
24/12/2014,321.62,327.15,342.9,-0.05
25/12/2014,319.19,327.76,340.1,-0.04
26/12/2014,328.27,325.55,337.82,-0.04
27/12/2014,316.01,327.2,334.82,-0.02
28/12/2014,316.69,324.1,332.54,-0.03
29/12/2014,313.01,320.36,330.65,-0.03
30/12/2014,311.0,318.63,328.94,-0.03
31/12/2014,320.98,317.0,327.56,-0.03
01/01/2015,313.81,315.54,325.64,-0.03
02/01/2015,315.41,315.1,323.9,-0.03
03/01/2015,280.0,314.84,320.07,-0.02
04/01/2015,264.03,308.24,315.88,-0.03
05/01/2015,276.8,298.85,313.29,-0.05
06/01/2015,276.82,290.01,311.09,-0.08
08/01/2015,276.82,282.61,309.31,-0.1
09/01/2015,293.83,274.89,308.07,-0.11
10/01/2015,275.59,277.66,305.34,-0.1
11/01/2015,266.23,279.97,302.65,-0.09
12/01/2015,267.01,277.86,299.43,-0.08
13/01/2015,227.0,275.9,294.01,-0.08
14/01/2015,171.41,265.93,286.5,-0.12
15/01/2015,209.88,241.45,281.03,-0.19
16/01/2015,208.13,228.31,275.02,-0.22
17/01/2015,199.35,216.69,269.19,-0.26
18/01/2015,211.04,203.15,263.91,-0.29
19/01/2015,216.0,199.96,259.06,-0.27
20/01/2015,210.65,208.88,254.04,-0.21
21/01/2015,227.16,209.03,249.35,-0.18
22/01/2015,233.5,212.84,245.33,-0.14
23/01/2015,233.39,219.67,241.23,-0.09
24/01/2015,249.32,224.14,239.7,-0.06
25/01/2015,248.63,230.8,238.93,-0.03
26/01/2015,274.0,238.4,238.79,-0.0
27/01/2015,263.64,247.77,238.13,0.04
28/01/2015,235.0,253.8,236.04,0.08
29/01/2015,235.1,254.12,233.1,0.09
30/01/2015,228.97,251.27,230.77,0.09
31/01/2015,216.9,247.34,228.3,0.09
01/02/2015,226.9,235.92,226.3,0.04
02/02/2015,237.23,228.57,226.81,0.01
03/02/2015,227.44,229.02,229.61,-0.0
04/02/2015,226.85,227.49,230.46,-0.01
05/02/2015,216.31,227.06,230.87,-0.02
06/02/2015,222.21,226.95,232.01,-0.02
