Date,Close,5DayMAV,20DayMAV,DIFof2Av
16/09/2019,25.5,,,
17/09/2019,21.87,,,
18/09/2019,,,,
19/09/2019,18.83,,,
20/09/2019,17.5,18.0,,
23/09/2019,17.73,17.74,,
24/09/2019,18.0,,,
25/09/2019,17.95,,,
26/09/2019,17.5,,,
27/09/2019,,,,
30/09/2019,17.25,,,
01/10/2019,17.75,15.98,,
02/10/2019,15.35,15.32,,
03/10/2019,15.7,14.58,,
04/10/2019,13.85,14.57,,
07/10/2019,13.95,14.63,,
08/10/2019,14.03,15.11,,
09/10/2019,15.31,15.68,,
10/10/2019,16.02,16.06,,
11/10/2019,16.26,16.15,,
14/10/2019,16.78,15.97,,
15/10/2019,15.95,15.73,,
16/10/2019,15.74,15.53,,
17/10/2019,15.11,15.53,,
18/10/2019,15.05,15.53,,
21/10/2019,15.78,15.58,,
22/10/2019,15.98,15.68,,
23/10/2019,15.72,15.62,,
24/10/2019,15.39,15.54,,
25/10/2019,15.54,15.55,15.63,-0.01
28/10/2019,15.45,15.57,15.54,0.0
29/10/2019,15.58,15.62,15.43,0.01
30/10/2019,15.77,15.72,15.45,0.02
31/10/2019,15.5,15.78,15.44,0.02
01/11/2019,15.8,15.79,15.54,0.02
04/11/2019,15.94,15.93,15.63,0.02
05/11/2019,15.9,15.99,15.73,0.02
06/11/2019,15.83,15.99,15.75,0.01
07/11/2019,16.2,15.92,15.76,0.01
08/11/2019,16.1,15.78,15.76,0.0
11/11/2019,15.91,15.6,15.71,-0.01
12/11/2019,15.55,15.48,15.69,-0.01
13/11/2019,15.16,15.28,15.66,-0.03
14/11/2019,15.27,15.14,15.67,-0.03
15/11/2019,15.52,15.09,15.69,-0.04
18/11/2019,14.9,14.99,15.65,-0.04
19/11/2019,14.86,14.9,15.59,-0.05
20/11/2019,14.88,14.95,15.55,-0.04
21/11/2019,14.8,14.9,15.52,-0.04
22/11/2019,15.04,14.93,15.5,-0.04
25/11/2019,15.19,15.08,15.49,-0.03
26/11/2019,14.59,15.19,15.44,-0.02
27/11/2019,15.03,15.3,15.4,-0.01
29/11/2019,15.56,15.4,15.4,-0.0
02/12/2019,15.58,15.44,15.39,0.0
03/12/2019,15.74,15.37,15.38,-0.0
04/12/2019,15.09,15.33,15.34,-0.0
05/12/2019,15.23,15.32,15.31,0.0
06/12/2019,15.21,15.42,15.26,0.01
09/12/2019,15.4,15.57,15.23,0.02
10/12/2019,15.68,15.84,15.21,0.04
11/12/2019,15.6,16.33,15.22,0.07
12/12/2019,15.98,16.97,15.26,0.11
13/12/2019,16.52,17.98,15.32,0.16
16/12/2019,17.86,18.93,15.44,0.2
