Date,Close,5DayMAV,20DayMAV,DIFof2Av
01/01/2000,11497.12,,,
02/01/2000,11497.12,,,
03/01/2000,11357.51,,,
04/01/2000,10997.94,,,
05/01/2000,11122.66,11283.8,,
06/01/2000,11253.27,11388.72,,
07/01/2000,11522.56,11478.63,,
08/01/2000,11522.56,11530.2,,
09/01/2000,11522.56,11535.9,,
10/01/2000,11572.2,11547.88,,
11/01/2000,11511.09,11587.96,,
12/01/2000,11551.11,11618.12,,
13/01/2000,11582.44,11660.5,,
14/01/2000,11722.98,11694.87,,
15/01/2000,11722.98,11690.53,,
16/01/2000,11722.98,11643.81,,
17/01/2000,11722.98,11569.47,,
18/01/2000,11560.73,11475.22,,
19/01/2000,11489.37,11380.97,,
20/01/2000,11351.3,11319.17,11490.17,-0.02
21/01/2000,11251.72,11222.93,11477.9,-0.02
22/01/2000,11251.72,11158.64,11465.63,-0.03
23/01/2000,11251.72,11114.9,11460.34,-0.03
24/01/2000,11008.17,11070.16,11460.86,-0.04
25/01/2000,11029.89,10967.59,11456.22,-0.04
26/01/2000,11032.99,10913.73,11445.2,-0.05
27/01/2000,11028.03,10855.53,11420.48,-0.05
28/01/2000,10738.88,10837.04,11381.29,-0.05
29/01/2000,10738.88,10839.65,11342.11,-0.05
30/01/2000,10738.88,10892.51,11300.44,-0.04
31/01/2000,10940.54,10947.43,11271.91,-0.03
01/02/2000,11041.06,10992.41,11246.41,-0.02
02/02/2000,11003.21,10997.07,11217.45,-0.02
03/02/2000,11013.45,10981.62,11181.97,-0.02
04/02/2000,10963.81,10962.13,11144.02,-0.02
05/02/2000,10963.81,10950.97,11106.06,-0.01
06/02/2000,10963.81,10898.04,11068.1,-0.02
07/02/2000,10905.79,10834.0,11035.35,-0.02
08/02/2000,10957.61,10726.28,11008.76,-0.03
09/02/2000,10699.17,10630.17,10976.16,-0.03
10/02/2000,10643.64,10523.69,10945.75,-0.04
11/02/2000,10425.22,10487.83,10904.43,-0.04
12/02/2000,10425.22,10502.72,10863.1,-0.03
13/02/2000,10425.22,10529.96,10833.96,-0.03
14/02/2000,10519.85,10547.83,10808.45,-0.02
15/02/2000,10718.1,10506.69,10792.71,-0.03
16/02/2000,10561.42,10446.63,10769.38,-0.03
17/02/2000,10514.57,10346.91,10758.16,-0.04
18/02/2000,10219.53,10278.54,10732.2,-0.04
19/02/2000,10219.53,10236.59,10706.23,-0.05
20/02/2000,10219.53,10237.83,10670.18,-0.04
21/02/2000,10219.53,10212.45,10629.1,-0.04
22/02/2000,10304.85,10140.97,10594.18,-0.04
23/02/2000,10225.73,10069.49,10554.8,-0.05
24/02/2000,10092.64,9980.95,10511.24,-0.05
25/02/2000,9862.12,9943.53,10456.15,-0.05
26/02/2000,9862.12,9950.67,10401.07,-0.05
27/02/2000,9862.12,10005.83,10348.88,-0.03
28/02/2000,10038.66,10066.39,10302.94,-0.02
29/02/2000,10128.31,10167.41,10274.39,-0.01
01/03/2000,10137.93,10233.12,10249.11,-0.0
02/03/2000,10164.92,10280.89,10236.09,0.0
