Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/11/2015,8.14,,,
04/11/2015,8.17,,,
05/11/2015,8.21,,,
06/11/2015,8.15,,,
09/11/2015,8.13,8.09,,
10/11/2015,8.06,8.04,,
11/11/2015,8.03,7.98,,
12/11/2015,8.06,7.95,,
13/11/2015,7.92,7.95,,
16/11/2015,7.84,7.95,,
17/11/2015,7.88,7.99,,
18/11/2015,8.04,8.05,,
19/11/2015,8.05,8.09,,
20/11/2015,8.13,8.09,,
23/11/2015,8.13,8.11,,
24/11/2015,8.1,8.13,,
25/11/2015,8.06,8.14,,
26/11/2015,8.14,8.15,,
27/11/2015,8.21,8.18,,
30/11/2015,8.19,8.2,8.08,0.02
01/12/2015,8.16,8.17,8.08,0.01
02/12/2015,8.22,8.14,8.09,0.01
03/12/2015,8.25,8.1,8.09,0.0
04/12/2015,8.06,8.01,8.08,-0.01
07/12/2015,8.01,7.91,8.08,-0.02
15/12/2015,7.99,7.87,8.07,-0.03
16/12/2015,7.73,7.82,8.06,-0.03
17/12/2015,7.78,7.77,8.04,-0.03
18/12/2015,7.84,7.79,8.04,-0.03
21/12/2015,7.77,7.84,8.04,-0.03
22/12/2015,7.75,7.89,8.03,-0.02
23/12/2015,7.81,7.95,8.02,-0.01
29/12/2015,8.02,7.97,8.02,-0.01
30/12/2015,8.12,7.98,8.02,-0.0
04/01/2016,8.06,7.94,8.01,-0.01
05/01/2016,7.82,7.84,8.0,-0.02
06/01/2016,7.89,7.75,7.99,-0.03
07/01/2016,7.8,7.69,7.97,-0.04
08/01/2016,7.64,7.64,7.95,-0.04
11/01/2016,7.59,7.61,7.92,-0.04
12/01/2016,7.54,7.6,7.88,-0.04
13/01/2016,7.62,7.58,7.85,-0.04
14/01/2016,7.66,7.55,7.83,-0.04
15/01/2016,7.61,7.54,7.8,-0.03
18/01/2016,7.45,7.47,7.77,-0.04
19/01/2016,7.43,7.43,7.75,-0.04
20/01/2016,7.55,7.45,7.74,-0.04
21/01/2016,7.29,7.48,7.71,-0.03
22/01/2016,7.42,7.49,7.69,-0.03
25/01/2016,7.58,7.57,7.68,-0.01
26/01/2016,7.55,7.61,7.67,-0.01
27/01/2016,7.6,7.66,7.66,-0.0
28/01/2016,7.7,7.71,7.65,0.01
29/01/2016,7.62,7.71,7.62,0.01
01/02/2016,7.82,7.67,7.61,0.01
02/02/2016,7.79,7.66,7.61,0.01
03/02/2016,7.61,7.6,7.59,0.0
04/02/2016,7.5,7.5,7.58,-0.01
05/02/2016,7.58,7.43,7.58,-0.02
08/02/2016,7.52,7.39,7.57,-0.02
09/02/2016,7.31,7.3,7.56,-0.04
10/02/2016,7.24,7.26,7.54,-0.04
11/02/2016,7.29,7.3,7.52,-0.03
12/02/2016,7.12,7.36,7.5,-0.02
15/02/2016,7.35,7.45,7.49,-0.01
16/02/2016,7.49,7.57,7.5,0.01
17/02/2016,7.55,7.64,7.5,0.02
18/02/2016,7.76,7.7,7.52,0.02
19/02/2016,7.72,7.73,7.54,0.03
22/02/2016,7.68,7.69,7.54,0.02
23/02/2016,7.8,7.7,7.55,0.02
24/02/2016,7.7,7.74,7.56,0.02
25/02/2016,7.57,7.76,7.55,0.03
26/02/2016,7.77,7.81,7.56,0.03
29/02/2016,7.88,7.89,7.56,0.04
01/03/2016,7.88,7.92,7.57,0.04
02/03/2016,7.95,7.95,7.58,0.05
03/03/2016,7.95,7.97,7.61,0.05
04/03/2016,7.94,7.97,7.62,0.04
07/03/2016,8.03,7.97,7.65,0.04
08/03/2016,8.0,7.95,7.68,0.03
09/03/2016,7.93,7.94,7.72,0.03
10/03/2016,7.96,7.94,7.75,0.02
11/03/2016,7.82,7.94,7.79,0.02
14/03/2016,7.96,7.95,7.82,0.02
15/03/2016,8.0,7.99,7.84,0.02
16/03/2016,7.96,8.01,7.86,0.02
17/03/2016,8.0,8.01,7.87,0.02
18/03/2016,8.05,8.03,7.89,0.02
21/03/2016,8.03,8.04,7.91,0.02
22/03/2016,8.02,8.01,7.92,0.01
23/03/2016,8.03,7.99,7.94,0.01
24/03/2016,8.04,8.0,7.96,0.0
29/03/2016,7.93,7.99,7.97,0.0
30/03/2016,7.93,7.98,7.97,0.0
31/03/2016,8.05,8.0,7.98,0.0
01/04/2016,8.02,7.99,7.98,0.0
04/04/2016,7.98,7.98,7.98,-0.0
05/04/2016,8.01,7.98,7.99,-0.0
06/04/2016,7.91,7.99,7.98,0.0
07/04/2016,8.0,8.0,7.98,0.0
08/04/2016,7.98,8.05,7.98,0.01
11/04/2016,8.06,8.1,7.99,0.01
12/04/2016,8.06,8.16,8.0,0.02
13/04/2016,8.12,8.2,8.01,0.02
14/04/2016,8.28,8.24,8.02,0.03
15/04/2016,8.28,8.28,8.04,0.03
18/04/2016,8.25,8.29,8.05,0.03
19/04/2016,8.26,8.3,8.06,0.03
20/04/2016,8.33,8.29,8.08,0.03
21/04/2016,8.34,8.27,8.09,0.02
22/04/2016,8.3,8.23,8.11,0.02
25/04/2016,8.21,8.21,8.11,0.01
26/04/2016,8.15,8.2,8.13,0.01
27/04/2016,8.17,8.18,8.14,0.01
28/04/2016,8.22,8.18,8.15,0.0
29/04/2016,8.23,8.16,8.16,0.0
02/05/2016,8.13,8.11,8.16,-0.01
03/05/2016,8.15,8.05,8.17,-0.01
04/05/2016,8.05,8.03,8.18,-0.02
05/05/2016,7.96,7.99,8.18,-0.02
06/05/2016,7.98,7.99,8.18,-0.02
09/05/2016,7.99,8.0,8.17,-0.02
10/05/2016,7.97,8.0,8.17,-0.02
11/05/2016,8.03,8.0,8.16,-0.02
12/05/2016,8.03,8.01,8.15,-0.02
13/05/2016,7.97,8.02,8.14,-0.01
16/05/2016,8.02,8.02,8.12,-0.01
17/05/2016,8.03,8.01,8.11,-0.01
18/05/2016,8.05,8.02,8.1,-0.01
19/05/2016,8.05,8.02,8.08,-0.01
20/05/2016,7.92,8.04,8.07,-0.0
23/05/2016,8.06,8.07,8.06,0.0
24/05/2016,8.03,8.12,8.05,0.01
25/05/2016,8.14,8.15,8.05,0.01
26/05/2016,8.19,8.19,8.05,0.02
27/05/2016,8.2,8.2,8.05,0.02
30/05/2016,8.2,8.18,8.05,0.02
31/05/2016,8.24,8.16,8.05,0.01
01/06/2016,8.16,8.15,8.06,0.01
02/06/2016,8.1,8.14,8.07,0.01
03/06/2016,8.1,8.15,8.07,0.01
06/06/2016,8.13,8.19,8.08,0.01
07/06/2016,8.21,8.2,8.09,0.01
08/06/2016,8.23,8.2,8.1,0.01
09/06/2016,8.25,8.12,8.11,0.0
10/06/2016,8.17,8.05,8.12,-0.01
16/06/2016,8.12,8.03,8.13,-0.01
17/06/2016,7.8,8.03,8.12,-0.01
20/06/2016,7.9,8.04,8.11,-0.01
21/06/2016,8.14,8.15,8.11,0.0
22/06/2016,8.17,8.18,8.13,0.01
23/06/2016,8.22,8.12,8.14,-0.0
24/06/2016,8.32,8.1,8.15,-0.01
27/06/2016,8.05,8.12,8.15,-0.0
28/06/2016,7.85,8.14,8.13,0.0
29/06/2016,8.06,8.26,8.12,0.02
30/06/2016,8.35,8.4,8.13,0.03
01/07/2016,8.39,8.48,8.14,0.04
04/07/2016,8.63,8.57,8.16,0.05
06/07/2016,8.56,8.64,8.18,0.05
11/07/2016,8.49,8.67,8.2,0.05
12/07/2016,8.77,8.7,8.23,0.05
13/07/2016,8.77,8.76,8.26,0.06
14/07/2016,8.76,8.76,8.29,0.05
15/07/2016,8.73,8.76,8.31,0.05
18/07/2016,8.75,8.78,8.34,0.05
19/07/2016,8.79,8.79,8.37,0.05
20/07/2016,8.79,8.81,8.42,0.04
21/07/2016,8.83,8.81,8.47,0.04
22/07/2016,8.79,8.82,8.5,0.04
25/07/2016,8.83,8.82,8.54,0.03
26/07/2016,8.81,8.83,8.57,0.03
27/07/2016,8.82,8.83,8.59,0.03
28/07/2016,8.86,8.82,8.63,0.02
29/07/2016,8.82,8.8,8.68,0.01
01/08/2016,8.83,8.77,8.72,0.01
02/08/2016,8.79,8.78,8.74,0.0
03/08/2016,8.72,8.8,8.76,0.01
04/08/2016,8.71,8.83,8.76,0.01
05/08/2016,8.86,8.89,8.78,0.01
08/08/2016,8.93,8.95,8.8,0.02
09/08/2016,8.95,9.01,8.81,0.02
10/08/2016,9.0,9.05,8.82,0.03
11/08/2016,9.02,9.1,8.83,0.03
12/08/2016,9.14,9.12,8.85,0.03
15/08/2016,9.14,9.13,8.87,0.03
16/08/2016,9.17,9.12,8.89,0.02
17/08/2016,9.11,9.1,8.91,0.02
18/08/2016,9.07,9.07,8.92,0.02
19/08/2016,9.09,9.07,8.93,0.01
22/08/2016,9.08,9.06,8.95,0.01
23/08/2016,9.03,9.05,8.96,0.01
24/08/2016,9.08,9.04,8.97,0.01
25/08/2016,9.04,9.04,8.98,0.01
26/08/2016,9.02,9.03,8.99,0.0
29/08/2016,9.05,9.02,9.0,0.0
30/08/2016,9.02,9.0,9.01,-0.0
31/08/2016,9.03,9.01,9.03,-0.0
01/09/2016,8.97,9.03,9.04,-0.0
02/09/2016,8.93,9.03,9.04,-0.0
05/09/2016,9.12,9.04,9.05,-0.0
06/09/2016,9.1,9.07,9.06,0.0
07/09/2016,9.03,9.04,9.06,-0.0
08/09/2016,9.04,9.0,9.06,-0.01
09/09/2016,9.08,8.95,9.06,-0.01
12/09/2016,8.97,8.91,9.05,-0.02
13/09/2016,8.87,8.88,9.04,-0.02
14/09/2016,8.82,8.86,9.02,-0.02
15/09/2016,8.83,8.89,9.01,-0.01
16/09/2016,8.91,8.93,9.0,-0.01
19/09/2016,8.88,8.98,8.99,-0.0
20/09/2016,9.01,9.03,8.99,0.0
21/09/2016,9.04,9.08,8.99,0.01
22/09/2016,9.05,9.08,8.99,0.01
23/09/2016,9.15,9.08,8.99,0.01
26/09/2016,9.14,9.08,9.0,0.01
27/09/2016,9.03,9.08,9.0,0.01
28/09/2016,9.01,9.08,9.0,0.01
29/09/2016,9.07,9.12,9.0,0.01
30/09/2016,9.16,9.19,9.02,0.02
03/10/2016,9.13,9.24,9.02,0.02
04/10/2016,9.24,9.26,9.02,0.03
05/10/2016,9.36,9.3,9.04,0.03
06/10/2016,9.31,9.33,9.05,0.03
07/10/2016,9.27,9.33,9.06,0.03
10/10/2016,9.32,9.33,9.08,0.03
11/10/2016,9.4,9.33,9.11,0.02
12/10/2016,9.37,9.32,9.13,0.02
13/10/2016,9.3,9.28,9.16,0.01
14/10/2016,9.24,9.26,9.17,0.01
17/10/2016,9.29,9.26,9.19,0.01
18/10/2016,9.2,9.27,9.2,0.01
19/10/2016,9.27,9.28,9.22,0.01
20/10/2016,9.3,9.29,9.23,0.01
21/10/2016,9.32,9.3,9.24,0.01
24/10/2016,9.31,9.28,9.24,0.0
25/10/2016,9.26,9.27,9.26,0.0
26/10/2016,9.3,9.26,9.27,-0.0
27/10/2016,9.22,9.26,9.28,-0.0
28/10/2016,9.27,9.23,9.28,-0.01
31/10/2016,9.27,9.2,9.29,-0.01
01/11/2016,9.22,9.15,9.29,-0.02
02/11/2016,9.17,9.07,9.28,-0.02
03/11/2016,9.08,9.03,9.27,-0.03
04/11/2016,9.01,9.01,9.26,-0.03
07/11/2016,8.88,9.03,9.23,-0.02
08/11/2016,9.03,9.05,9.21,-0.02
09/11/2016,9.07,9.06,9.2,-0.02
10/11/2016,9.17,9.05,9.19,-0.02
11/11/2016,9.08,9.04,9.19,-0.02
14/11/2016,8.95,9.0,9.17,-0.02
15/11/2016,8.98,8.99,9.16,-0.02
16/11/2016,9.03,9.01,9.15,-0.02
17/11/2016,8.98,9.01,9.13,-0.01
18/11/2016,9.04,9.02,9.12,-0.01
21/11/2016,9.01,9.04,9.1,-0.01
22/11/2016,9.02,9.05,9.09,-0.0
23/11/2016,9.07,9.07,9.08,-0.0
24/11/2016,9.07,9.08,9.07,0.0
25/11/2016,9.09,9.07,9.06,0.0
28/11/2016,9.11,9.06,9.05,0.0
29/11/2016,9.05,9.04,9.04,-0.0
30/11/2016,9.02,9.01,9.04,-0.0
01/12/2016,9.03,9.0,9.04,-0.0
02/12/2016,8.99,9.0,9.03,-0.0
05/12/2016,8.96,9.03,9.04,-0.0
06/12/2016,8.99,9.08,9.04,0.0
07/12/2016,9.03,9.14,9.03,0.01
08/12/2016,9.19,9.18,9.03,0.02
09/12/2016,9.23,9.23,9.04,0.02
12/12/2016,9.26,9.24,9.06,0.02
13/12/2016,9.17,9.26,9.07,0.02
14/12/2016,9.28,9.27,9.08,0.02
15/12/2016,9.25,9.31,9.09,0.02
16/12/2016,9.32,9.33,9.11,0.02
19/12/2016,9.34,9.36,9.12,0.02
20/12/2016,9.35,9.37,9.14,0.02
21/12/2016,9.39,9.38,9.16,0.02
22/12/2016,9.38,9.4,9.17,0.02
23/12/2016,9.41,9.42,9.19,0.02
27/12/2016,9.4,9.43,9.2,0.02
28/12/2016,9.43,9.46,9.22,0.03
29/12/2016,9.46,9.5,9.24,0.03
03/01/2017,9.44,9.53,9.26,0.03
04/01/2017,9.56,9.56,9.29,0.03
