Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,239.29,,,
04/01/2000,229.72,,,
05/01/2000,229.32,,,
06/01/2000,232.38,,,
07/01/2000,241.38,232.68,,
10/01/2000,241.28,234.42,,
11/01/2000,241.68,234.82,,
12/01/2000,242.48,237.21,,
13/01/2000,245.27,239.84,,
14/01/2000,240.88,242.42,,
18/01/2000,236.1,242.32,,
19/01/2000,237.25,241.28,,
20/01/2000,232.8,240.4,,
21/01/2000,229.92,238.46,,
24/01/2000,220.35,235.39,,
25/01/2000,220.94,231.28,,
26/01/2000,225.63,228.25,,
27/01/2000,226.13,225.93,,
28/01/2000,213.76,224.59,,
31/01/2000,213.76,221.36,232.02,-0.05
01/02/2000,216.96,220.05,230.9,-0.05
02/02/2000,213.86,219.25,230.11,-0.05
03/02/2000,222.14,216.9,229.75,-0.06
04/02/2000,225.83,216.1,229.42,-0.06
07/02/2000,217.75,218.51,228.24,-0.04
08/02/2000,218.65,219.31,227.11,-0.04
09/02/2000,213.86,219.65,225.72,-0.03
10/02/2000,216.06,219.65,224.4,-0.02
11/02/2000,213.37,218.43,222.8,-0.02
14/02/2000,214.36,215.94,221.47,-0.03
15/02/2000,219.35,215.26,220.64,-0.02
16/02/2000,216.41,215.4,219.59,-0.02
17/02/2000,208.98,215.91,218.4,-0.01
18/02/2000,199.61,214.49,216.89,-0.01
22/02/2000,206.79,211.74,216.21,-0.02
23/02/2000,208.18,210.23,215.57,-0.03
24/02/2000,208.98,207.99,214.74,-0.03
25/02/2000,201.2,206.51,213.49,-0.03
28/02/2000,206.49,204.95,213.13,-0.04
29/02/2000,211.17,206.33,213.0,-0.03
01/03/2000,209.58,207.2,212.63,-0.03
02/03/2000,215.68,207.48,212.72,-0.02
03/03/2000,222.34,208.82,212.73,-0.02
06/03/2000,219.25,213.05,212.4,0.0
07/03/2000,207.28,215.6,211.88,0.02
08/03/2000,207.88,214.83,211.34,0.02
09/03/2000,205.79,214.49,210.94,0.02
10/03/2000,210.08,212.51,210.64,0.01
13/03/2000,206.49,210.06,210.29,-0.0
