Date,Close,5DayMAV,20DayMAV,DIFof2Av
13/02/2002,2.51,,,
14/02/2002,2.5,,,
15/02/2002,2.49,,,
19/02/2002,2.39,,,
20/02/2002,2.47,2.47,,
21/02/2002,2.46,2.47,,
22/02/2002,2.42,2.46,,
25/02/2002,2.44,2.45,,
26/02/2002,2.44,2.44,,
27/02/2002,2.39,2.45,,
28/02/2002,2.39,2.43,,
01/03/2002,2.42,2.42,,
04/03/2002,2.46,2.42,,
05/03/2002,2.41,2.42,,
06/03/2002,2.42,2.41,,
07/03/2002,2.55,2.42,,
08/03/2002,2.61,2.45,,
11/03/2002,2.65,2.49,,
12/03/2002,2.65,2.53,,
13/03/2002,2.63,2.58,2.48,0.03
14/03/2002,2.62,2.62,2.49,0.05
15/03/2002,2.54,2.63,2.49,0.05
18/03/2002,2.41,2.62,2.49,0.05
19/03/2002,2.34,2.57,2.49,0.04
20/03/2002,2.25,2.51,2.48,0.02
21/03/2002,2.34,2.43,2.47,-0.01
22/03/2002,2.41,2.38,2.47,-0.04
25/03/2002,2.46,2.35,2.47,-0.05
26/03/2002,2.5,2.36,2.47,-0.04
27/03/2002,2.58,2.39,2.48,-0.03
28/03/2002,2.52,2.46,2.49,-0.01
01/04/2002,2.38,2.5,2.49,0.0
02/04/2002,2.33,2.49,2.48,0.0
03/04/2002,2.33,2.46,2.48,-0.01
04/04/2002,2.37,2.43,2.47,-0.02
05/04/2002,2.31,2.39,2.46,-0.03
08/04/2002,2.29,2.34,2.45,-0.04
09/04/2002,2.37,2.32,2.43,-0.05
10/04/2002,2.37,2.33,2.42,-0.04
11/04/2002,2.31,2.34,2.4,-0.03
12/04/2002,2.28,2.33,2.38,-0.02
15/04/2002,2.32,2.32,2.37,-0.02
16/04/2002,2.38,2.33,2.37,-0.02
17/04/2002,2.48,2.33,2.38,-0.02
18/04/2002,2.48,2.35,2.39,-0.01
19/04/2002,2.53,2.39,2.4,-0.01
22/04/2002,2.5,2.44,2.4,0.01
23/04/2002,2.44,2.47,2.4,0.03
24/04/2002,2.43,2.49,2.4,0.04
25/04/2002,2.42,2.48,2.39,0.03
26/04/2002,2.41,2.47,2.39,0.03
29/04/2002,2.36,2.44,2.38,0.02
30/04/2002,2.38,2.41,2.39,0.01
01/05/2002,2.56,2.4,2.4,0.0
02/05/2002,2.6,2.43,2.41,0.01
03/05/2002,2.6,2.46,2.43,0.01
06/05/2002,2.72,2.5,2.45,0.02
07/05/2002,2.69,2.57,2.46,0.04
08/05/2002,2.8,2.63,2.48,0.05
09/05/2002,2.86,2.68,2.51,0.06
10/05/2002,2.76,2.73,2.54,0.07
13/05/2002,2.69,2.76,2.55,0.08
14/05/2002,2.6,2.76,2.57,0.07
15/05/2002,2.48,2.74,2.57,0.07
16/05/2002,2.58,2.68,2.57,0.04
17/05/2002,2.65,2.62,2.58,0.02
20/05/2002,2.67,2.6,2.59,0.01
21/05/2002,2.56,2.6,2.59,0.0
22/05/2002,2.66,2.59,2.6,-0.01
23/05/2002,2.8,2.62,2.62,0.0
24/05/2002,2.93,2.67,2.65,0.01
28/05/2002,3.03,2.73,2.68,0.01
29/05/2002,2.95,2.8,2.71,0.03
