Date,Close,5DayMAV,20DayMAV,DIFof2Av
19/08/2004,2.51,,,
20/08/2004,2.71,,,
23/08/2004,2.74,,,
24/08/2004,2.62,,,
25/08/2004,2.65,2.64,,
26/08/2004,2.7,2.62,,
27/08/2004,2.66,2.6,,
30/08/2004,2.55,2.56,,
31/08/2004,2.56,2.53,,
01/09/2004,2.51,2.53,,
02/09/2004,2.54,2.53,,
03/09/2004,2.5,2.54,,
07/09/2004,2.54,2.56,,
08/09/2004,2.56,2.6,,
09/09/2004,2.56,2.65,,
10/09/2004,2.64,2.7,,
13/09/2004,2.69,2.75,,
14/09/2004,2.79,2.81,,
15/09/2004,2.8,2.87,,
16/09/2004,2.85,2.91,2.63,0.1
17/09/2004,2.94,2.94,2.66,0.1
20/09/2004,2.99,2.97,2.67,0.1
21/09/2004,2.95,2.98,2.68,0.1
22/09/2004,2.96,2.98,2.7,0.09
23/09/2004,3.02,3.02,2.72,0.1
24/09/2004,3.0,3.09,2.73,0.12
27/09/2004,2.96,3.13,2.75,0.13
28/09/2004,3.17,3.2,2.78,0.13
29/09/2004,3.28,3.28,2.81,0.14
30/09/2004,3.24,3.34,2.85,0.15
01/10/2004,3.32,3.37,2.89,0.14
04/10/2004,3.38,3.41,2.93,0.14
05/10/2004,3.46,3.44,2.98,0.13
06/10/2004,3.43,3.44,3.02,0.12
07/10/2004,3.47,3.43,3.07,0.11
08/10/2004,3.45,3.45,3.11,0.1
11/10/2004,3.38,3.47,3.14,0.1
12/10/2004,3.44,3.5,3.18,0.09
13/10/2004,3.53,3.57,3.21,0.1
14/10/2004,3.55,3.62,3.25,0.11
15/10/2004,3.61,3.62,3.28,0.09
18/10/2004,3.73,3.66,3.32,0.09
19/10/2004,3.7,3.8,3.35,0.12
20/10/2004,3.52,3.99,3.38,0.17
21/10/2004,3.74,4.16,3.42,0.2
22/10/2004,4.31,4.39,3.48,0.21
25/10/2004,4.69,4.61,3.57,0.22
26/10/2004,4.55,4.7,3.64,0.23
27/10/2004,4.65,4.74,3.71,0.22
28/10/2004,4.84,4.81,3.79,0.21
29/10/2004,4.77,4.84,3.86,0.2
01/11/2004,4.91,4.79,3.94,0.17
