Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,24.5,,,
04/01/2000,24.69,,,
05/01/2000,25.0,,,
06/01/2000,25.81,,,
07/01/2000,24.69,23.73,,
10/01/2000,23.62,22.96,,
11/01/2000,22.5,22.45,,
12/01/2000,22.0,22.26,,
13/01/2000,22.0,22.39,,
14/01/2000,22.12,22.48,,
18/01/2000,22.69,22.89,,
19/01/2000,23.12,23.23,,
20/01/2000,22.44,23.54,,
21/01/2000,24.06,23.91,,
24/01/2000,23.81,24.21,,
25/01/2000,24.25,24.2,,
26/01/2000,25.0,24.04,,
27/01/2000,23.94,23.76,,
28/01/2000,24.0,23.36,,
31/01/2000,23.0,23.36,23.66,-0.01
01/02/2000,22.88,23.26,23.58,-0.01
02/02/2000,23.0,23.26,23.5,-0.01
03/02/2000,23.94,23.29,23.44,-0.01
04/02/2000,23.5,23.26,23.33,-0.0
07/02/2000,23.0,22.98,23.24,-0.01
08/02/2000,23.0,22.94,23.21,-0.01
09/02/2000,22.88,23.24,23.23,0.0
10/02/2000,22.5,23.49,23.26,0.01
11/02/2000,23.31,24.54,23.32,0.05
14/02/2000,24.5,25.36,23.44,0.08
15/02/2000,24.25,26.27,23.52,0.11
16/02/2000,28.12,26.62,23.77,0.1
17/02/2000,26.62,27.12,23.98,0.12
18/02/2000,27.88,26.8,24.17,0.09
22/02/2000,26.25,26.75,24.29,0.09
23/02/2000,26.75,26.32,24.42,0.07
24/02/2000,26.5,26.12,24.49,0.06
25/02/2000,26.38,25.82,24.61,0.05
28/02/2000,25.75,25.24,24.7,0.02
29/02/2000,25.25,24.62,24.81,-0.01
01/03/2000,25.25,23.77,24.93,-0.05
02/03/2000,23.56,23.45,24.96,-0.06
03/03/2000,23.31,22.85,24.93,-0.09
06/03/2000,21.5,22.6,24.83,-0.1
07/03/2000,23.62,22.32,24.86,-0.11
08/03/2000,22.25,22.16,24.82,-0.12
09/03/2000,22.31,21.64,24.79,-0.14
10/03/2000,21.94,21.41,24.77,-0.15
13/03/2000,20.69,21.09,24.63,-0.17
14/03/2000,21.0,20.86,24.46,-0.17
15/03/2000,21.12,21.0,24.3,-0.16
16/03/2000,20.69,20.98,23.93,-0.14
17/03/2000,20.81,21.12,23.64,-0.12
20/03/2000,21.38,21.46,23.32,-0.09
21/03/2000,20.88,21.88,23.05,-0.06
22/03/2000,21.88,22.1,22.8,-0.03
23/03/2000,22.38,22.51,22.6,-0.0
24/03/2000,22.88,22.44,22.42,0.0
27/03/2000,22.5,22.26,22.26,0.0
28/03/2000,22.94,22.0,22.14,-0.01
29/03/2000,21.5,21.89,21.96,-0.0
30/03/2000,21.5,21.82,21.85,-0.0
31/03/2000,21.56,22.14,21.77,0.02
03/04/2000,21.94,22.54,21.79,0.03
04/04/2000,22.62,23.0,21.74,0.06
05/04/2000,23.06,23.14,21.78,0.06
06/04/2000,23.5,23.04,21.84,0.05
07/04/2000,23.88,22.8,21.93,0.04
10/04/2000,22.62,22.51,22.03,0.02
11/04/2000,22.12,22.09,22.09,0.0
12/04/2000,21.88,21.66,22.12,-0.02
13/04/2000,22.06,21.4,22.19,-0.04
14/04/2000,21.75,20.98,22.24,-0.06
17/04/2000,20.5,20.29,22.2,-0.09
18/04/2000,20.81,19.91,22.19,-0.11
19/04/2000,19.75,20.16,22.09,-0.1
20/04/2000,18.62,20.27,21.9,-0.09
24/04/2000,19.88,20.51,21.75,-0.06
25/04/2000,21.75,21.38,21.71,-0.02
26/04/2000,21.38,21.76,21.63,0.01
27/04/2000,20.92,21.73,21.61,0.01
28/04/2000,23.0,21.55,21.68,-0.01
01/05/2000,21.75,21.51,21.69,-0.01
02/05/2000,21.62,21.29,21.67,-0.02
03/05/2000,20.44,21.15,21.56,-0.02
04/05/2000,20.75,21.01,21.45,-0.02
05/05/2000,21.88,21.14,21.37,-0.01
08/05/2000,21.06,21.12,21.23,-0.0
09/05/2000,20.94,21.07,21.14,-0.0
10/05/2000,21.06,21.25,21.09,0.01
11/05/2000,20.69,21.59,21.03,0.03
12/05/2000,21.62,21.85,21.01,0.04
15/05/2000,21.94,22.29,21.02,0.06
16/05/2000,22.62,22.23,21.12,0.05
17/05/2000,22.38,21.99,21.2,0.04
18/05/2000,22.88,21.54,21.36,0.01
19/05/2000,21.31,21.24,21.49,-0.01
22/05/2000,20.75,20.76,21.54,-0.04
23/05/2000,20.38,20.6,21.47,-0.04
24/05/2000,20.88,20.65,21.44,-0.04
25/05/2000,20.5,20.93,21.42,-0.02
26/05/2000,20.5,21.04,21.3,-0.01
30/05/2000,21.0,21.29,21.26,0.0
31/05/2000,21.75,21.35,21.27,0.0
01/06/2000,21.44,21.55,21.32,0.01
02/06/2000,21.75,21.75,21.37,0.02
05/06/2000,20.81,22.06,21.31,0.04
06/06/2000,22.0,22.19,21.36,0.04
07/06/2000,22.75,22.36,21.45,0.04
08/06/2000,23.0,22.24,21.55,0.03
09/06/2000,22.38,22.11,21.63,0.02
12/06/2000,21.69,22.2,21.63,0.03
13/06/2000,21.38,22.38,21.61,0.04
14/06/2000,22.12,22.51,21.58,0.04
15/06/2000,23.44,22.74,21.63,0.05
16/06/2000,23.25,22.96,21.65,0.06
19/06/2000,22.38,22.8,21.71,0.05
20/06/2000,22.5,22.74,21.79,0.04
21/06/2000,23.25,22.94,21.94,0.04
22/06/2000,22.62,23.06,22.02,0.05
23/06/2000,22.94,23.0,22.15,0.04
26/06/2000,23.38,23.0,22.29,0.03
27/06/2000,23.12,22.96,22.4,0.02
28/06/2000,22.94,22.82,22.46,0.02
29/06/2000,22.62,22.74,22.52,0.01
30/06/2000,22.75,22.74,22.57,0.01
03/07/2000,22.69,22.74,22.66,0.0
05/07/2000,22.69,22.61,22.69,-0.0
06/07/2000,22.94,22.64,22.7,-0.0
07/07/2000,22.62,22.59,22.68,-0.0
10/07/2000,22.12,23.3,22.67,0.03
11/07/2000,22.81,23.98,22.73,0.05
12/07/2000,22.44,25.09,22.78,0.1
13/07/2000,26.5,25.9,23.0,0.11
14/07/2000,26.0,26.6,23.13,0.13
17/07/2000,27.69,26.49,23.35,0.11
18/07/2000,26.88,26.36,23.57,0.1
19/07/2000,25.94,25.99,23.75,0.09
20/07/2000,25.94,25.74,23.88,0.07
21/07/2000,25.38,25.69,24.02,0.07
24/07/2000,25.81,25.6,24.16,0.06
25/07/2000,25.62,25.45,24.27,0.05
26/07/2000,25.69,25.29,24.4,0.03
27/07/2000,25.5,25.16,24.53,0.02
28/07/2000,24.62,24.95,24.63,0.01
31/07/2000,25.0,24.75,24.74,0.0
01/08/2000,25.0,24.9,24.86,0.0
02/08/2000,24.62,25.05,24.96,0.0
03/08/2000,24.5,25.52,25.03,0.02
04/08/2000,25.38,26.02,25.17,0.03
07/08/2000,25.75,26.77,25.35,0.06
08/08/2000,27.38,27.31,25.58,0.06
09/08/2000,27.12,27.41,25.82,0.06
10/08/2000,28.25,27.05,25.9,0.04
11/08/2000,28.06,27.12,26.01,0.04
14/08/2000,26.25,26.93,25.93,0.04
15/08/2000,25.56,26.71,25.87,0.03
16/08/2000,27.5,26.76,25.95,0.03
17/08/2000,27.25,26.96,26.01,0.03
18/08/2000,27.0,26.85,26.09,0.03
21/08/2000,26.5,26.79,26.13,0.02
22/08/2000,26.56,26.84,26.18,0.02
23/08/2000,26.94,26.96,26.24,0.03
24/08/2000,26.94,27.06,26.31,0.03
25/08/2000,27.25,27.1,26.44,0.02
28/08/2000,27.12,27.18,26.55,0.02
29/08/2000,27.06,27.07,26.65,0.02
30/08/2000,27.12,27.1,26.77,0.01
31/08/2000,27.31,27.07,26.92,0.01
01/09/2000,26.75,26.76,26.98,-0.01
05/09/2000,27.25,26.38,27.06,-0.03
