Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,43.5,,,
04/01/2000,41.47,,,
05/01/2000,41.81,,,
06/01/2000,39.38,,,
07/01/2000,41.0,41.54,,
10/01/2000,42.88,41.43,,
11/01/2000,44.84,41.31,,
12/01/2000,45.62,41.98,,
13/01/2000,45.53,42.74,,
14/01/2000,51.53,43.98,,
18/01/2000,51.06,46.08,,
19/01/2000,50.03,47.72,,
20/01/2000,47.81,48.76,,
21/01/2000,48.97,49.19,,
24/01/2000,49.41,49.88,,
25/01/2000,50.78,49.46,,
26/01/2000,48.25,49.4,,
27/01/2000,49.06,49.04,,
28/01/2000,47.0,49.29,,
31/01/2000,49.47,48.9,46.47,0.05
01/02/2000,50.72,48.91,46.83,0.04
02/02/2000,50.03,48.9,47.26,0.03
03/02/2000,52.09,49.26,47.77,0.03
04/02/2000,52.38,49.86,48.42,0.03
07/02/2000,53.97,50.94,49.07,0.03
08/02/2000,54.41,51.84,49.65,0.04
09/02/2000,52.31,52.58,50.02,0.05
10/02/2000,53.81,53.03,50.43,0.05
11/02/2000,52.94,53.38,50.8,0.05
14/02/2000,54.94,53.49,50.97,0.05
15/02/2000,56.0,53.68,51.22,0.04
16/02/2000,53.59,54.0,51.4,0.05
17/02/2000,55.0,54.26,51.76,0.05
18/02/2000,52.69,54.49,51.94,0.05
22/02/2000,53.38,54.44,52.14,0.04
23/02/2000,54.53,54.13,52.33,0.03
24/02/2000,57.12,53.84,52.77,0.02
25/02/2000,56.62,54.54,53.15,0.02
28/02/2000,56.19,54.87,53.61,0.02
29/02/2000,56.5,55.57,53.96,0.03
01/03/2000,57.94,56.19,54.32,0.03
02/03/2000,57.88,56.88,54.71,0.04
03/03/2000,59.62,57.02,55.09,0.03
06/03/2000,58.69,57.62,55.41,0.04
07/03/2000,57.88,58.12,55.6,0.04
08/03/2000,57.47,58.4,55.75,0.05
09/03/2000,59.19,58.31,56.1,0.04
10/03/2000,60.09,58.57,56.41,0.04
13/03/2000,61.06,58.66,56.82,0.03
14/03/2000,58.94,59.14,57.02,0.04
15/03/2000,60.09,59.35,57.22,0.04
16/03/2000,62.53,59.88,57.67,0.04
17/03/2000,64.94,60.54,58.17,0.04
20/03/2000,67.5,61.51,58.91,0.04
21/03/2000,69.22,62.8,59.7,0.04
22/03/2000,72.03,64.86,60.58,0.06
23/03/2000,71.31,67.24,61.28,0.08
24/03/2000,69.53,69.0,61.93,0.1
27/03/2000,71.34,69.92,62.69,0.1
28/03/2000,67.84,70.69,63.25,0.11
29/03/2000,65.94,70.41,63.65,0.1
30/03/2000,63.5,69.19,63.94,0.08
31/03/2000,65.97,67.63,64.25,0.05
03/04/2000,65.31,66.92,64.58,0.04
04/04/2000,66.38,65.71,65.01,0.01
05/04/2000,64.94,65.42,65.38,0.0
06/04/2000,64.91,65.22,65.67,-0.01
07/04/2000,68.41,65.5,66.08,-0.01
10/04/2000,65.56,65.99,66.31,-0.0
11/04/2000,65.38,66.04,66.63,-0.01
12/04/2000,60.94,65.84,66.67,-0.01
13/04/2000,60.56,65.04,66.58,-0.03
14/04/2000,55.25,64.17,66.09,-0.03
17/04/2000,61.5,61.54,65.79,-0.07
18/04/2000,64.5,60.73,65.55,-0.07
19/04/2000,59.53,60.55,64.93,-0.07
20/04/2000,57.69,60.27,64.25,-0.07
24/04/2000,58.06,59.69,63.68,-0.07
25/04/2000,62.5,60.26,63.23,-0.05
26/04/2000,60.41,60.46,62.86,-0.04
27/04/2000,62.66,59.64,62.7,-0.05
28/04/2000,63.41,60.26,62.69,-0.04
01/05/2000,63.56,61.41,62.57,-0.02
02/05/2000,60.59,62.51,62.34,0.0
03/05/2000,59.53,62.13,61.99,0.0
04/05/2000,59.78,61.95,61.74,0.0
05/05/2000,61.69,61.38,61.58,-0.0
08/05/2000,58.81,61.03,61.1,-0.0
09/05/2000,58.47,60.08,60.74,-0.01
10/05/2000,53.03,59.66,60.12,-0.01
11/05/2000,57.78,58.36,59.97,-0.03
12/05/2000,57.5,57.96,59.81,-0.03
15/05/2000,59.06,57.12,60.0,-0.05
16/05/2000,60.94,57.17,59.98,-0.05
17/05/2000,61.59,57.66,59.83,-0.04
18/05/2000,61.97,59.38,59.95,-0.01
19/05/2000,58.94,60.21,60.01,0.0
22/05/2000,59.19,60.5,60.07,0.01
23/05/2000,54.94,60.53,59.69,0.02
24/05/2000,58.69,59.33,59.61,-0.0
25/05/2000,57.59,58.74,59.35,-0.01
26/05/2000,58.78,57.87,59.12,-0.02
30/05/2000,62.88,57.84,59.09,-0.02
31/05/2000,62.34,58.58,59.18,-0.01
