Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,48.58,,,
04/01/2000,47.25,,,
05/01/2000,46.96,,,
06/01/2000,47.63,,,
07/01/2000,48.5,47.43,,
10/01/2000,47.67,47.42,,
11/01/2000,46.54,47.57,,
12/01/2000,46.83,47.5,,
13/01/2000,47.54,48.08,,
14/01/2000,49.25,48.44,,
18/01/2000,47.33,48.66,,
19/01/2000,49.42,48.54,,
20/01/2000,48.67,49.03,,
21/01/2000,48.63,49.6,,
24/01/2000,48.67,50.63,,
25/01/2000,49.75,51.13,,
26/01/2000,52.29,52.15,,
27/01/2000,53.79,53.37,,
28/01/2000,51.13,53.89,,
31/01/2000,53.79,54.23,49.01,0.1
01/02/2000,55.83,54.9,49.37,0.1
02/02/2000,54.92,55.1,49.76,0.1
03/02/2000,55.46,55.28,50.18,0.09
04/02/2000,54.5,55.34,50.53,0.09
07/02/2000,54.79,55.33,50.84,0.08
08/02/2000,56.71,55.45,51.29,0.07
09/02/2000,55.25,55.03,51.73,0.06
10/02/2000,55.42,54.5,52.16,0.04
11/02/2000,55.08,54.05,52.53,0.03
14/02/2000,52.71,53.42,52.71,0.01
15/02/2000,54.04,52.37,53.04,-0.01
16/02/2000,53.0,52.13,53.22,-0.02
17/02/2000,52.25,51.63,53.4,-0.03
18/02/2000,49.83,51.17,53.46,-0.05
22/02/2000,51.5,50.83,53.6,-0.05
23/02/2000,51.58,51.26,53.69,-0.05
24/02/2000,50.67,51.58,53.61,-0.04
25/02/2000,50.58,52.19,53.45,-0.02
28/02/2000,51.96,52.8,53.49,-0.01
29/02/2000,53.08,53.5,53.46,0.0
01/03/2000,54.67,54.23,53.4,0.02
02/03/2000,53.71,54.53,53.34,0.02
03/03/2000,54.08,54.13,53.27,0.02
06/03/2000,55.63,54.2,53.33,0.02
07/03/2000,54.54,53.88,53.31,0.01
08/03/2000,52.67,53.43,53.11,0.01
09/03/2000,54.08,53.05,53.05,-0.0
10/03/2000,52.46,53.6,52.91,0.01
13/03/2000,53.38,54.8,52.82,0.04
14/03/2000,52.67,56.44,52.82,0.07
15/03/2000,55.42,57.31,52.89,0.08
16/03/2000,60.08,59.04,53.24,0.1
17/03/2000,60.67,60.17,53.66,0.11
20/03/2000,57.71,61.28,54.06,0.13
21/03/2000,61.33,61.98,54.55,0.12
22/03/2000,61.04,63.06,55.02,0.13
23/03/2000,65.67,63.36,55.77,0.12
24/03/2000,64.13,63.2,56.45,0.11
27/03/2000,63.13,61.67,57.01,0.07
28/03/2000,62.83,60.47,57.49,0.05
29/03/2000,60.25,60.18,57.77,0.04
30/03/2000,58.0,59.18,57.99,0.02
31/03/2000,58.13,58.64,58.19,0.01
03/04/2000,61.67,58.7,58.49,0.0
04/04/2000,57.83,58.59,58.66,-0.0
05/04/2000,57.58,58.01,58.9,-0.02
06/04/2000,58.29,57.91,59.11,-0.02
07/04/2000,57.58,57.97,59.37,-0.02
10/04/2000,58.75,57.58,59.64,-0.04
11/04/2000,57.33,56.58,59.87,-0.06
12/04/2000,57.88,55.31,59.99,-0.08
13/04/2000,56.33,54.58,59.81,-0.09
14/04/2000,52.58,53.4,59.4,-0.11
17/04/2000,52.42,52.44,59.14,-0.13
18/04/2000,53.67,51.89,58.75,-0.13
19/04/2000,52.0,51.82,58.3,-0.12
20/04/2000,51.54,51.28,57.6,-0.12
24/04/2000,49.83,50.73,56.88,-0.12
25/04/2000,52.04,50.03,56.33,-0.12
26/04/2000,50.96,49.9,55.73,-0.11
27/04/2000,49.25,49.64,55.18,-0.11
28/04/2000,48.08,49.35,54.69,-0.11
01/05/2000,49.17,49.27,54.24,-0.1
02/05/2000,50.75,49.28,53.69,-0.09
03/05/2000,49.5,49.04,53.28,-0.09
04/05/2000,48.83,48.34,52.84,-0.09
05/05/2000,48.13,47.61,52.33,-0.1
08/05/2000,48.0,47.18,51.85,-0.1
09/05/2000,47.25,47.1,51.28,-0.09
10/05/2000,45.83,47.45,50.7,-0.07
11/05/2000,46.67,47.9,50.14,-0.05
12/05/2000,47.75,48.6,49.71,-0.02
15/05/2000,49.75,49.28,49.57,-0.01
16/05/2000,49.5,49.4,49.43,-0.0
17/05/2000,49.33,49.08,49.21,-0.0
18/05/2000,50.08,48.93,49.11,-0.0
19/05/2000,48.33,48.61,48.95,-0.01
22/05/2000,48.13,47.96,48.87,-0.02
23/05/2000,48.75,47.69,48.7,-0.02
24/05/2000,47.75,47.87,48.54,-0.01
25/05/2000,46.83,48.08,48.42,-0.01
26/05/2000,47.0,48.81,48.37,0.01
30/05/2000,49.0,50.2,48.36,0.04
31/05/2000,49.79,51.38,48.31,0.06
01/06/2000,51.42,51.85,48.41,0.07
02/06/2000,53.79,52.14,48.65,0.06
05/06/2000,52.92,52.06,48.89,0.06
06/06/2000,51.33,51.08,49.06,0.04
07/06/2000,51.25,50.21,49.26,0.02
08/06/2000,51.0,49.58,49.52,0.0
09/06/2000,48.88,49.34,49.63,-0.01
12/06/2000,48.59,48.9,49.67,-0.02
13/06/2000,48.19,48.22,49.59,-0.03
14/06/2000,50.06,47.88,49.62,-0.03
15/06/2000,48.81,47.83,49.6,-0.04
16/06/2000,45.44,47.21,49.36,-0.05
19/06/2000,46.88,46.73,49.29,-0.05
20/06/2000,47.94,47.01,49.28,-0.05
21/06/2000,47.0,47.15,49.19,-0.04
22/06/2000,46.38,47.15,49.12,-0.04
23/06/2000,46.88,47.16,49.13,-0.04
26/06/2000,47.56,47.41,49.15,-0.04
27/06/2000,47.94,47.25,49.1,-0.04
28/06/2000,47.04,47.25,48.96,-0.04
29/06/2000,47.62,47.21,48.77,-0.03
30/06/2000,46.06,47.4,48.39,-0.02
03/07/2000,47.56,47.89,48.12,-0.0
05/07/2000,47.75,48.62,47.94,0.01
06/07/2000,48.0,49.25,47.78,0.03
07/07/2000,50.06,49.81,47.73,0.04
10/07/2000,49.75,50.36,47.77,0.05
11/07/2000,50.69,50.85,47.88,0.06
12/07/2000,50.56,51.31,48.0,0.07
13/07/2000,50.75,51.36,48.03,0.07
14/07/2000,52.5,51.38,48.22,0.06
17/07/2000,52.03,51.87,48.55,0.06
18/07/2000,50.94,51.91,48.75,0.06
19/07/2000,50.69,51.82,48.89,0.06
20/07/2000,53.19,51.88,49.2,0.05
21/07/2000,52.73,51.62,49.52,0.04
