Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,20.25,,,
04/01/2000,20.94,,,
05/01/2000,21.06,,,
06/01/2000,21.38,,,
07/01/2000,21.44,20.91,,
10/01/2000,20.62,20.79,,
11/01/2000,19.94,20.6,,
12/01/2000,21.19,20.48,,
13/01/2000,20.75,20.62,,
14/01/2000,20.5,20.5,,
18/01/2000,20.0,20.55,,
19/01/2000,20.69,20.36,,
20/01/2000,20.56,20.21,,
21/01/2000,21.0,20.09,,
24/01/2000,19.56,19.86,,
25/01/2000,19.25,19.44,,
26/01/2000,20.06,19.23,,
27/01/2000,19.44,19.11,,
28/01/2000,18.88,18.84,,
31/01/2000,18.5,18.68,20.3,-0.09
01/02/2000,18.69,18.73,20.22,-0.08
02/02/2000,18.69,18.77,20.11,-0.07
03/02/2000,18.62,18.71,19.99,-0.07
04/02/2000,19.12,18.65,19.88,-0.06
07/02/2000,18.75,18.59,19.74,-0.06
08/02/2000,18.38,18.26,19.63,-0.07
09/02/2000,18.38,18.12,19.55,-0.08
10/02/2000,18.31,18.07,19.41,-0.07
11/02/2000,17.5,17.95,19.24,-0.07
14/02/2000,18.06,17.89,19.12,-0.07
15/02/2000,18.12,17.88,19.03,-0.06
16/02/2000,17.75,17.86,18.88,-0.06
17/02/2000,18.0,17.8,18.75,-0.05
18/02/2000,17.44,17.76,18.57,-0.05
22/02/2000,18.0,17.71,18.5,-0.04
23/02/2000,17.81,17.73,18.43,-0.04
24/02/2000,17.56,17.61,18.3,-0.04
25/02/2000,17.75,17.59,18.22,-0.04
28/02/2000,17.5,17.5,18.15,-0.04
29/02/2000,17.44,17.35,18.09,-0.04
01/03/2000,17.69,17.45,18.04,-0.03
02/03/2000,17.12,17.43,17.97,-0.03
03/03/2000,17.0,17.41,17.88,-0.03
06/03/2000,18.0,17.41,17.83,-0.02
07/03/2000,17.31,17.38,17.76,-0.02
08/03/2000,17.62,17.16,17.72,-0.03
09/03/2000,17.12,17.02,17.66,-0.04
10/03/2000,16.81,16.93,17.58,-0.04
13/03/2000,16.94,17.11,17.55,-0.03
14/03/2000,16.62,17.35,17.48,-0.01
15/03/2000,17.12,17.51,17.43,0.0
16/03/2000,18.06,17.65,17.45,0.01
17/03/2000,18.0,17.65,17.45,0.01
20/03/2000,17.76,17.45,17.46,-0.0
21/03/2000,17.31,17.35,17.43,-0.0
22/03/2000,17.12,17.36,17.39,-0.0
23/03/2000,17.06,17.65,17.37,0.02
24/03/2000,17.5,18.07,17.36,0.04
27/03/2000,17.81,18.84,17.37,0.08
28/03/2000,18.75,19.43,17.44,0.11
29/03/2000,19.25,19.95,17.52,0.13
30/03/2000,20.88,20.26,17.7,0.12
31/03/2000,20.44,20.6,17.88,0.13
03/04/2000,20.44,20.66,18.0,0.13
04/04/2000,20.31,20.79,18.15,0.13
05/04/2000,20.94,20.93,18.31,0.12
06/04/2000,21.19,21.04,18.52,0.12
07/04/2000,21.06,21.26,18.73,0.12
10/04/2000,21.12,21.35,18.94,0.11
11/04/2000,20.88,21.27,19.15,0.1
12/04/2000,22.06,21.31,19.4,0.09
13/04/2000,21.62,21.34,19.58,0.08
14/04/2000,20.69,21.1,19.71,0.07
17/04/2000,21.31,21.31,19.89,0.07
18/04/2000,21.0,22.35,20.07,0.11
19/04/2000,20.88,23.2,20.26,0.14
20/04/2000,22.69,23.82,20.54,0.14
24/04/2000,25.88,24.43,20.96,0.13
25/04/2000,25.56,24.86,21.35,0.14
26/04/2000,24.12,25.09,21.62,0.14
27/04/2000,23.88,25.19,21.85,0.14
28/04/2000,24.88,25.48,22.05,0.14
01/05/2000,27.0,25.96,22.38,0.13
02/05/2000,26.06,26.23,22.66,0.14
03/05/2000,25.56,26.04,22.92,0.12
04/05/2000,26.31,26.02,23.19,0.11
05/05/2000,26.19,26.12,23.44,0.1
08/05/2000,26.06,26.1,23.69,0.09
09/05/2000,26.0,26.02,23.93,0.08
10/05/2000,26.06,25.94,24.19,0.07
11/05/2000,26.19,25.77,24.4,0.05
12/05/2000,25.81,25.48,24.61,0.03
