Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,58.28,,,
04/01/2000,56.31,,,
05/01/2000,56.91,,,
06/01/2000,55.0,,,
07/01/2000,55.72,54.89,,
10/01/2000,56.12,54.67,,
11/01/2000,54.69,54.75,,
12/01/2000,52.91,55.06,,
13/01/2000,53.91,54.82,,
14/01/2000,56.12,54.84,,
18/01/2000,57.66,54.43,,
19/01/2000,53.5,53.33,,
20/01/2000,53.0,52.08,,
21/01/2000,51.88,51.32,,
24/01/2000,50.62,50.59,,
25/01/2000,51.41,50.04,,
26/01/2000,49.69,49.71,,
27/01/2000,49.38,49.72,,
28/01/2000,49.12,49.86,,
31/01/2000,48.94,50.35,53.56,-0.07
01/02/2000,51.47,51.18,53.22,-0.04
02/02/2000,50.41,52.06,52.92,-0.02
03/02/2000,51.81,52.76,52.67,0.0
04/02/2000,53.28,53.08,52.58,0.01
07/02/2000,53.31,53.31,52.46,0.02
08/02/2000,54.97,52.65,52.4,0.0
09/02/2000,52.0,51.95,52.27,-0.01
10/02/2000,53.0,50.81,52.27,-0.03
11/02/2000,49.97,50.18,52.08,-0.04
14/02/2000,49.81,49.54,51.76,-0.04
15/02/2000,49.28,49.05,51.34,-0.05
16/02/2000,48.81,48.47,51.11,-0.05
17/02/2000,49.81,48.04,50.95,-0.06
18/02/2000,47.53,47.75,50.73,-0.06
22/02/2000,46.91,46.92,50.55,-0.08
23/02/2000,47.12,46.57,50.33,-0.08
24/02/2000,47.38,46.13,50.22,-0.09
25/02/2000,45.66,45.78,50.03,-0.09
28/02/2000,45.78,45.64,49.86,-0.09
29/02/2000,44.69,46.13,49.65,-0.08
01/03/2000,45.41,46.03,49.35,-0.07
02/03/2000,46.69,46.38,49.16,-0.06
03/03/2000,48.06,46.86,48.97,-0.04
06/03/2000,45.31,47.52,48.58,-0.02
07/03/2000,46.44,48.01,48.23,-0.0
08/03/2000,47.78,48.74,47.87,0.02
09/03/2000,50.0,48.97,47.77,0.02
10/03/2000,50.5,48.95,47.65,0.03
13/03/2000,49.0,48.49,47.6,0.02
14/03/2000,47.56,48.33,47.49,0.02
15/03/2000,47.69,48.26,47.41,0.02
16/03/2000,47.69,49.02,47.35,0.04
17/03/2000,49.69,49.81,47.34,0.05
20/03/2000,48.69,51.46,47.4,0.08
21/03/2000,51.38,52.69,47.63,0.1
22/03/2000,51.62,53.36,47.85,0.11
23/03/2000,55.94,53.52,48.28,0.09
24/03/2000,55.84,53.91,48.79,0.09
27/03/2000,52.03,53.06,49.1,0.08
28/03/2000,52.16,52.52,49.47,0.06
29/03/2000,53.59,51.2,49.88,0.02
30/03/2000,51.69,49.63,50.13,-0.01
31/03/2000,53.12,47.54,50.39,-0.05
03/04/2000,45.44,45.81,50.39,-0.1
04/04/2000,44.28,44.09,50.28,-0.14
05/04/2000,43.19,43.61,50.05,-0.15
06/04/2000,43.0,43.14,49.7,-0.15
07/04/2000,44.53,42.44,49.41,-0.16
10/04/2000,43.03,41.76,49.11,-0.17
11/04/2000,41.94,40.27,48.83,-0.2
12/04/2000,39.69,39.25,48.43,-0.23
13/04/2000,39.62,38.92,48.02,-0.23
14/04/2000,37.06,38.85,47.39,-0.23
17/04/2000,37.94,38.82,46.85,-0.21
18/04/2000,40.28,38.07,46.3,-0.2
19/04/2000,39.34,37.42,45.69,-0.21
20/04/2000,39.47,36.16,44.86,-0.22
24/04/2000,33.31,35.28,43.74,-0.25
25/04/2000,34.69,34.36,42.87,-0.25
26/04/2000,34.0,35.04,41.96,-0.2
27/04/2000,34.91,35.09,41.03,-0.17
28/04/2000,34.88,35.34,40.19,-0.14
01/05/2000,36.72,35.41,39.37,-0.11
02/05/2000,34.94,35.54,38.84,-0.09
03/05/2000,35.28,35.18,38.39,-0.09
04/05/2000,35.22,34.98,37.99,-0.09
05/05/2000,35.56,34.54,37.62,-0.09
08/05/2000,34.91,34.28,37.14,-0.08
09/05/2000,33.91,34.05,36.68,-0.08
10/05/2000,33.09,34.01,36.24,-0.07
11/05/2000,33.94,34.18,35.95,-0.05
12/05/2000,34.41,34.33,35.69,-0.04
15/05/2000,34.69,34.16,35.57,-0.04
16/05/2000,34.75,33.78,35.41,-0.05
17/05/2000,33.84,33.26,35.09,-0.05
18/05/2000,33.09,32.63,34.78,-0.06
19/05/2000,32.53,32.42,34.43,-0.06
22/05/2000,32.09,31.95,34.37,-0.08
23/05/2000,31.59,31.59,34.22,-0.08
24/05/2000,32.78,31.51,34.16,-0.08
25/05/2000,30.75,31.44,33.95,-0.08
26/05/2000,30.72,31.34,33.74,-0.08
30/05/2000,31.69,31.83,33.49,-0.05
31/05/2000,31.28,32.37,33.31,-0.03
01/06/2000,32.28,32.99,33.16,-0.01
02/06/2000,33.16,33.79,33.05,0.02
05/06/2000,33.44,34.21,32.95,0.04
06/06/2000,34.81,34.46,32.94,0.04
07/06/2000,35.25,34.46,33.01,0.04
08/06/2000,34.41,34.29,33.08,0.04
09/06/2000,34.41,34.29,33.1,0.03
12/06/2000,33.44,34.64,33.05,0.05
13/06/2000,33.94,35.02,33.01,0.06
14/06/2000,35.25,35.7,33.04,0.08
15/06/2000,36.19,36.41,33.15,0.09
16/06/2000,36.28,37.43,33.31,0.11
19/06/2000,36.84,38.18,33.53,0.13
20/06/2000,37.47,38.69,33.8,0.13
21/06/2000,40.34,39.27,34.24,0.12
22/06/2000,39.94,39.66,34.59,0.13
23/06/2000,38.84,39.48,35.0,0.12
26/06/2000,39.75,39.21,35.45,0.09
27/06/2000,39.41,39.44,35.84,0.09
28/06/2000,39.47,39.49,36.25,0.08
29/06/2000,38.59,39.46,36.56,0.08
30/06/2000,40.0,39.66,36.9,0.07
03/07/2000,40.0,40.14,37.23,0.07
05/07/2000,39.25,40.09,37.45,0.07
06/07/2000,40.47,40.0,37.71,0.06
07/07/2000,41.0,40.18,38.04,0.05
10/07/2000,39.72,40.08,38.31,0.04
11/07/2000,39.56,39.78,38.62,0.03
12/07/2000,40.16,39.65,38.93,0.02
13/07/2000,39.97,39.59,39.16,0.01
14/07/2000,39.47,38.87,39.33,-0.01
17/07/2000,39.09,38.36,39.47,-0.03
18/07/2000,39.25,37.69,39.59,-0.05
19/07/2000,36.56,36.93,39.54,-0.07
20/07/2000,37.41,35.98,39.4,-0.09
21/07/2000,36.16,35.45,39.21,-0.1
24/07/2000,35.28,34.91,39.03,-0.12
25/07/2000,34.5,34.64,38.77,-0.12
26/07/2000,33.91,34.57,38.49,-0.12
27/07/2000,34.69,34.54,38.25,-0.11
28/07/2000,34.84,34.69,38.06,-0.1
31/07/2000,34.91,34.78,37.81,-0.09
01/08/2000,34.34,34.73,37.53,-0.08
02/08/2000,34.69,34.74,37.3,-0.07
03/08/2000,35.12,35.29,37.03,-0.05
04/08/2000,34.56,35.77,36.71,-0.03
07/08/2000,35.0,36.01,36.47,-0.01
08/08/2000,37.06,36.34,36.35,-0.0
09/08/2000,37.12,36.56,36.2,0.01
10/08/2000,36.31,36.31,36.01,0.01
11/08/2000,36.22,35.99,35.85,0.0
14/08/2000,36.09,35.88,35.7,0.0
15/08/2000,35.81,35.74,35.53,0.01
16/08/2000,35.5,35.58,35.48,0.0
17/08/2000,35.78,35.54,35.4,0.0
18/08/2000,35.5,35.52,35.36,0.0
21/08/2000,35.31,35.48,35.36,0.0
22/08/2000,35.62,35.44,35.42,0.0
23/08/2000,35.38,35.51,35.49,0.0
24/08/2000,35.56,35.48,35.54,-0.0
25/08/2000,35.31,35.4,35.56,-0.0
28/08/2000,35.66,35.27,35.6,-0.01
29/08/2000,35.47,35.23,35.65,-0.01
30/08/2000,35.0,35.11,35.67,-0.02
31/08/2000,34.91,34.96,35.66,-0.02
01/09/2000,35.09,34.96,35.69,-0.02
05/09/2000,35.06,34.91,35.69,-0.02
06/09/2000,34.72,34.78,35.57,-0.02
07/09/2000,35.03,34.58,35.47,-0.03
08/09/2000,34.66,34.46,35.38,-0.03
11/09/2000,34.41,34.03,35.29,-0.04
12/09/2000,34.06,33.52,35.19,-0.05
13/09/2000,34.12,32.94,35.11,-0.06
14/09/2000,32.91,32.63,34.98,-0.07
15/09/2000,32.09,32.23,34.79,-0.08
18/09/2000,31.5,32.06,34.59,-0.08
19/09/2000,32.5,31.97,34.45,-0.08
20/09/2000,32.12,31.79,34.28,-0.08
21/09/2000,32.09,31.56,34.11,-0.08
22/09/2000,31.62,31.2,33.92,-0.09
25/09/2000,30.62,30.91,33.68,-0.09
26/09/2000,31.34,30.62,33.47,-0.09
27/09/2000,30.31,30.41,33.21,-0.09
28/09/2000,30.66,29.79,32.99,-0.1
29/09/2000,30.16,29.28,32.75,-0.12
02/10/2000,29.56,28.68,32.48,-0.13
03/10/2000,28.28,28.21,32.14,-0.14
04/10/2000,27.72,27.71,31.79,-0.15
05/10/2000,27.69,27.51,31.42,-0.14
06/10/2000,27.78,27.54,31.08,-0.13
09/10/2000,27.09,27.44,30.71,-0.12
10/10/2000,27.28,27.26,30.37,-0.11
11/10/2000,27.88,26.88,30.06,-0.11
12/10/2000,27.19,26.47,29.78,-0.12
13/10/2000,26.88,26.07,29.51,-0.13
16/10/2000,25.19,26.82,29.2,-0.09
17/10/2000,25.22,27.96,28.83,-0.03
18/10/2000,25.88,29.14,28.52,0.02
19/10/2000,30.94,30.24,28.46,0.06
20/10/2000,32.59,31.19,28.51,0.08
23/10/2000,31.06,31.45,28.53,0.09
24/10/2000,30.75,31.7,28.5,0.1
25/10/2000,30.62,32.39,28.52,0.13
26/10/2000,32.22,33.13,28.6,0.14
27/10/2000,33.84,33.97,28.78,0.15
