Date,Close,5DayMAV,20DayMAV,DIFof2Av
04/01/2000,19002.86,,,
05/01/2000,18542.55,,,
06/01/2000,18168.27,,,
07/01/2000,18193.41,,,
11/01/2000,18850.92,18702.32,,
12/01/2000,18677.42,18951.08,,
13/01/2000,18833.29,19020.21,,
14/01/2000,18956.55,19064.28,,
17/01/2000,19437.23,19099.22,,
18/01/2000,19196.57,19083.53,,
19/01/2000,18897.75,19007.43,,
20/01/2000,19008.01,18947.22,,
21/01/2000,18878.09,18989.91,,
24/01/2000,19056.71,19030.25,,
25/01/2000,18895.53,19141.59,,
26/01/2000,19111.19,19238.18,,
27/01/2000,19209.72,19343.75,,
28/01/2000,19434.78,19437.3,,
31/01/2000,19539.7,19552.64,,
01/02/2000,19423.38,19618.31,18965.7,0.03
02/02/2000,19578.91,19699.45,18994.5,0.04
03/02/2000,19786.42,19788.55,19056.69,0.04
04/02/2000,19763.13,19874.33,19136.44,0.04
07/02/2000,19945.43,19859.05,19224.04,0.03
08/02/2000,19868.88,19817.71,19274.93,0.03
09/02/2000,20007.77,19702.19,19341.45,0.02
10/02/2000,19710.02,19648.25,19385.29,0.01
14/02/2000,19556.46,19604.98,19415.28,0.01
15/02/2000,19367.83,19620.78,19411.81,0.01
16/02/2000,19599.18,19618.24,19431.94,0.01
17/02/2000,19791.4,19622.79,19476.63,0.01
18/02/2000,19789.03,19606.86,19515.68,0.0
21/02/2000,19543.75,19562.87,19548.96,0.0
22/02/2000,19390.58,19568.64,19565.65,0.0
23/02/2000,19519.55,19603.91,19596.86,0.0
24/02/2000,19571.44,19717.7,19619.87,0.0
25/02/2000,19817.88,19830.12,19650.28,0.01
28/02/2000,19720.1,19928.86,19664.54,0.01
29/02/2000,19959.52,19950.79,19685.53,0.01
01/03/2000,20081.67,19966.04,19718.45,0.01
02/03/2000,20065.11,19962.98,19742.76,0.01
03/03/2000,19927.54,19900.01,19749.81,0.01
06/03/2000,19796.35,19819.45,19751.47,0.0
07/03/2000,19944.24,19784.02,19751.41,0.0
08/03/2000,19766.8,19662.74,19746.31,-0.0
09/03/2000,19662.33,19502.26,19729.04,-0.01
10/03/2000,19750.4,19364.62,19731.06,-0.02
13/03/2000,19189.93,19282.8,19712.73,-0.02
14/03/2000,19141.84,19245.98,19701.43,-0.02
15/03/2000,19078.6,19328.47,19675.4,-0.02
16/03/2000,19253.23,19446.82,19648.49,-0.01
17/03/2000,19566.32,19572.02,19637.36,-0.0
21/03/2000,19602.36,19712.99,19640.29,0.0
22/03/2000,19733.59,19855.93,19657.44,0.01
23/03/2000,19704.6,20010.33,19666.69,0.02
24/03/2000,19958.08,20204.94,19686.02,0.03
27/03/2000,20281.03,20352.32,19709.18,0.03
28/03/2000,20374.34,20428.17,19741.89,0.03
29/03/2000,20706.65,20517.36,19779.25,0.04
30/03/2000,20441.5,20561.48,19797.24,0.04
31/03/2000,20337.32,20512.7,19810.85,0.03
03/04/2000,20726.99,20469.12,19850.83,0.03
04/04/2000,20594.93,20452.22,19890.75,0.03
05/04/2000,20462.77,20430.64,19916.68,0.03
06/04/2000,20223.61,20416.15,19939.52,0.02
07/04/2000,20252.81,20490.24,19969.04,0.03
10/04/2000,20619.06,20550.8,20012.48,0.03
11/04/2000,20522.52,20587.18,20079.11,0.02
12/04/2000,20833.21,20265.09,20163.68,0.0
13/04/2000,20526.42,19954.49,20236.07,-0.01
14/04/2000,20434.68,19605.18,20295.14,-0.03
17/04/2000,19008.64,19291.76,20267.26,-0.05
18/04/2000,18969.52,18855.36,20235.61,-0.07
19/04/2000,19086.62,18749.66,20203.27,-0.08
20/04/2000,18959.32,18610.22,20166.0,-0.08
21/04/2000,18252.68,18419.76,20080.73,-0.09
24/04/2000,18480.15,18231.73,19990.69,-0.1
25/04/2000,18272.33,18175.93,19885.59,-0.09
26/04/2000,18134.31,18160.52,19756.97,-0.09
27/04/2000,18019.17,18193.92,19635.85,-0.08
28/04/2000,17973.7,18207.05,19517.67,-0.07
01/05/2000,18403.08,18172.13,19401.48,-0.07
02/05/2000,18439.36,18117.68,19293.7,-0.06
08/05/2000,18199.96,17813.56,19180.56,-0.08
09/05/2000,17844.54,17597.26,19061.6,-0.08
10/05/2000,17701.47,17420.0,18934.04,-0.09
11/05/2000,16882.46,17361.35,18747.21,-0.08
12/05/2000,17357.86,17301.86,18588.97,-0.07
15/05/2000,17313.69,17331.69,18413.0,-0.06
16/05/2000,17551.25,17231.75,18264.24,-0.06
17/05/2000,17404.03,17046.22,18112.71,-0.06
18/05/2000,17031.63,16799.71,18013.86,-0.07
19/05/2000,16858.17,16527.8,17908.29,-0.08
22/05/2000,16386.01,16371.03,17773.26,-0.09
23/05/2000,16318.73,16201.03,17641.23,-0.09
24/05/2000,16044.44,16172.91,17530.82,-0.08
25/05/2000,16247.82,16154.95,17419.2,-0.08
26/05/2000,16008.14,16212.55,17305.99,-0.07
29/05/2000,16245.44,16301.85,17211.55,-0.06
30/05/2000,16228.9,16460.23,17122.03,-0.04
31/05/2000,16332.45,16651.5,17039.97,-0.02
01/06/2000,16694.3,16839.74,16954.53,-0.01
02/06/2000,16800.06,17002.24,16872.57,0.01
05/06/2000,17201.79,17064.25,16822.66,0.01
06/06/2000,17170.08,17076.62,16788.94,0.02
07/06/2000,17144.96,17032.38,16761.11,0.02
08/06/2000,17004.34,16981.35,16767.2,0.01
09/06/2000,16861.91,16883.25,16742.41,0.01
12/06/2000,16980.61,16750.12,16725.75,0.0
13/06/2000,16914.95,16641.4,16693.94,-0.0
14/06/2000,16654.42,16563.55,16656.46,-0.01
15/06/2000,16338.7,16562.07,16621.81,-0.0
16/06/2000,16318.31,16673.2,16594.82,0.0
19/06/2000,16591.35,16826.66,16605.08,0.01
20/06/2000,16907.55,16955.64,16634.53,0.02
21/06/2000,17210.08,17022.45,16692.81,0.02
22/06/2000,17106.01,17096.75,16735.72,0.02
23/06/2000,16963.21,17128.77,16783.47,0.02
26/06/2000,16925.4,17202.75,16817.47,0.02
27/06/2000,17279.06,17292.32,16869.98,0.02
28/06/2000,17370.17,17430.17,16921.86,0.03
29/06/2000,17475.9,17468.39,16960.94,0.03
30/06/2000,17411.05,17481.54,16991.49,0.03
03/07/2000,17614.66,17442.84,17012.14,0.02
04/07/2000,17470.15,17440.27,17027.14,0.02
05/07/2000,17435.95,17431.88,17041.69,0.02
06/07/2000,17282.37,17438.72,17055.59,0.02
07/07/2000,17398.24,17419.96,17082.41,0.02
10/07/2000,17572.68,17370.86,17112.01,0.01
11/07/2000,17504.36,17319.79,17141.48,0.01
12/07/2000,17342.13,17262.62,17175.87,0.01
13/07/2000,17036.9,17150.77,17210.78,-0.0
14/07/2000,17142.9,17079.05,17252.01,-0.01
17/07/2000,17286.83,17033.97,17286.78,-0.01
18/07/2000,16945.07,16914.82,17288.66,-0.02
19/07/2000,16983.57,16772.17,17277.33,-0.03
21/07/2000,16811.49,16683.68,17262.6,-0.03
24/07/2000,16547.12,16523.36,17241.8,-0.04
25/07/2000,16573.59,16328.78,17224.21,-0.05
26/07/2000,16502.61,16164.85,17185.39,-0.06
27/07/2000,16182.01,16070.07,17125.98,-0.07
28/07/2000,15838.57,16010.79,17044.11,-0.07
31/07/2000,15727.49,15937.27,16959.93,-0.07
01/08/2000,16099.67,15903.03,16884.19,-0.06
02/08/2000,16206.19,15958.07,16820.99,-0.05
03/08/2000,15814.44,15902.16,16739.91,-0.05
04/08/2000,15667.36,15867.84,16659.16,-0.05
07/08/2000,16002.71,15900.09,16589.38,-0.04
08/08/2000,15820.11,15990.11,16501.76,-0.03
09/08/2000,16034.6,16020.35,16428.27,-0.03
10/08/2000,15975.65,16115.99,16359.94,-0.02
11/08/2000,16117.5,16180.28,16313.97,-0.01
14/08/2000,16153.91,16217.35,16264.52,-0.0
15/08/2000,16298.29,16249.95,16215.1,0.0
16/08/2000,16356.03,16227.2,16185.65,0.0
17/08/2000,16161.03,16258.49,16144.52,0.01
18/08/2000,16280.49,16274.62,16117.97,0.01
21/08/2000,16040.18,16376.58,16092.62,0.02
22/08/2000,16454.74,16502.74,16086.68,0.03
23/08/2000,16436.65,16730.93,16083.38,0.04
24/08/2000,16670.82,16868.33,16107.82,0.05
25/08/2000,16911.33,16961.34,16161.46,0.05
28/08/2000,17181.12,16999.43,16234.14,0.04
29/08/2000,17141.75,16965.12,16286.24,0.04
30/08/2000,16901.67,16866.53,16321.02,0.03
31/08/2000,16861.26,16728.64,16373.36,0.02
01/09/2000,16739.78,16628.28,16426.98,0.01
04/09/2000,16688.21,16516.12,16461.26,0.0
05/09/2000,16452.27,16468.47,16492.86,-0.0
06/09/2000,16399.87,16357.01,16511.13,-0.01
07/09/2000,16300.46,16274.6,16527.37,-0.02
08/09/2000,16501.55,16232.73,16546.57,-0.02
11/09/2000,16130.9,16215.3,16545.42,-0.02
12/09/2000,16040.23,16127.22,16532.52,-0.03
13/09/2000,16190.52,16125.88,16524.24,-0.02
14/09/2000,16213.28,16209.49,16526.85,-0.02
18/09/2000,16061.16,16233.6,16515.89,-0.02
19/09/2000,16124.19,16154.59,16520.09,-0.02
20/09/2000,16458.31,16140.94,16520.27,-0.02
21/09/2000,16311.05,16101.83,16513.99,-0.03
22/09/2000,15818.25,15938.15,16471.36,-0.03
25/09/2000,15992.9,15801.34,16425.44,-0.04
26/09/2000,15928.62,15787.14,16362.81,-0.04
27/09/2000,15639.95,15769.06,16287.72,-0.03
28/09/2000,15626.96,15765.75,16223.99,-0.03
29/09/2000,15747.26,15867.58,16168.29,-0.02
02/10/2000,15902.51,15962.04,16126.42,-0.01
03/10/2000,15912.09,16011.44,16087.62,-0.0
04/10/2000,16149.08,15996.48,16072.46,-0.0
05/10/2000,16099.26,15916.77,16057.43,-0.01
06/10/2000,15994.24,15797.09,16042.12,-0.02
10/10/2000,15827.72,15643.3,16008.42,-0.02
11/10/2000,15513.57,15546.91,15977.56,-0.03
12/10/2000,15550.64,15449.41,15953.08,-0.03
13/10/2000,15330.31,15321.19,15910.07,-0.04
16/10/2000,15512.32,15173.28,15875.02,-0.05
17/10/2000,15340.22,15146.97,15838.97,-0.05
18/10/2000,14872.48,15064.09,15776.39,-0.05
19/10/2000,14811.08,15025.69,15694.03,-0.05
20/10/2000,15198.73,15019.29,15638.41,-0.04
23/10/2000,15097.96,15028.76,15602.4,-0.04
24/10/2000,15148.19,14905.45,15560.16,-0.04
25/10/2000,14840.47,14778.77,15505.75,-0.05
