Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,0.1,,,
04/01/2000,0.09,,,
05/01/2000,0.09,,,
06/01/2000,0.09,,,
07/01/2000,0.09,0.09,,
10/01/2000,0.09,0.09,,
11/01/2000,0.09,0.09,,
12/01/2000,0.08,0.09,,
13/01/2000,0.09,0.09,,
14/01/2000,0.09,0.09,,
18/01/2000,0.1,0.09,,
19/01/2000,0.09,0.09,,
20/01/2000,0.09,0.09,,
21/01/2000,0.09,0.09,,
24/01/2000,0.09,0.09,,
25/01/2000,0.09,0.08,,
26/01/2000,0.08,0.08,,
27/01/2000,0.08,0.08,,
28/01/2000,0.08,0.08,,
31/01/2000,0.08,0.08,0.09,-0.12
01/02/2000,0.08,0.08,0.09,-0.09
02/02/2000,0.08,0.08,0.09,-0.07
03/02/2000,0.08,0.08,0.09,-0.05
04/02/2000,0.08,0.08,0.09,-0.04
07/02/2000,0.08,0.09,0.09,0.01
08/02/2000,0.08,0.09,0.09,0.06
09/02/2000,0.09,0.1,0.09,0.16
10/02/2000,0.1,0.11,0.09,0.19
11/02/2000,0.1,0.11,0.09,0.25
14/02/2000,0.12,0.12,0.09,0.24
15/02/2000,0.12,0.12,0.09,0.3
16/02/2000,0.12,0.13,0.09,0.3
17/02/2000,0.13,0.13,0.09,0.31
18/02/2000,0.14,0.14,0.1,0.28
22/02/2000,0.14,0.14,0.1,0.28
23/02/2000,0.14,0.13,0.1,0.24
24/02/2000,0.14,0.13,0.1,0.22
25/02/2000,0.13,0.13,0.1,0.2
28/02/2000,0.13,0.13,0.11,0.16
29/02/2000,0.13,0.13,0.11,0.12
01/03/2000,0.13,0.13,0.11,0.1
02/03/2000,0.12,0.13,0.11,0.16
03/03/2000,0.12,0.14,0.12,0.21
06/03/2000,0.12,0.16,0.12,0.34
07/03/2000,0.17,0.19,0.12,0.36
08/03/2000,0.17,0.22,0.13,0.54
09/03/2000,0.21,0.23,0.13,0.48
10/03/2000,0.25,0.24,0.14,0.41
13/03/2000,0.31,0.24,0.15,0.29
14/03/2000,0.23,0.23,0.16,0.33
15/03/2000,0.22,0.21,0.16,0.23
16/03/2000,0.2,0.21,0.17,0.2
17/03/2000,0.21,0.2,0.17,0.15
20/03/2000,0.21,0.2,0.17,0.14
21/03/2000,0.2,0.2,0.18,0.12
22/03/2000,0.2,0.19,0.18,0.08
23/03/2000,0.2,0.19,0.18,0.03
24/03/2000,0.19,0.18,0.19,-0.03
27/03/2000,0.18,0.17,0.19,-0.1
28/03/2000,0.17,0.17,0.19,-0.14
29/03/2000,0.16,0.16,0.19,-0.18
30/03/2000,0.16,0.16,0.19,-0.21
31/03/2000,0.18,0.17,0.2,-0.16
03/04/2000,0.16,0.18,0.2,-0.13
04/04/2000,0.16,0.18,0.2,-0.08
05/04/2000,0.19,0.19,0.2,-0.04
06/04/2000,0.2,0.2,0.2,-0.01
07/04/2000,0.21,0.19,0.2,-0.02
10/04/2000,0.19,0.18,0.19,-0.04
11/04/2000,0.18,0.17,0.19,-0.11
12/04/2000,0.16,0.16,0.19,-0.16
13/04/2000,0.16,0.16,0.18,-0.16
14/04/2000,0.14,0.16,0.18,-0.14
17/04/2000,0.15,0.16,0.18,-0.1
18/04/2000,0.18,0.16,0.18,-0.06
19/04/2000,0.17,0.17,0.17,-0.03
20/04/2000,0.17,0.17,0.17,-0.02
24/04/2000,0.16,0.17,0.17,0.02
25/04/2000,0.18,0.18,0.17,0.04
26/04/2000,0.18,0.18,0.17,0.07
27/04/2000,0.19,0.19,0.17,0.06
28/04/2000,0.19,0.19,0.17,0.06
01/05/2000,0.19,0.19,0.18,0.05
02/05/2000,0.18,0.19,0.18,0.05
03/05/2000,0.18,0.19,0.18,0.04
04/05/2000,0.18,0.18,0.18,0.04
05/05/2000,0.19,0.18,0.18,0.02
08/05/2000,0.18,0.18,0.18,0.02
09/05/2000,0.18,0.17,0.17,-0.01
10/05/2000,0.16,0.17,0.17,-0.01
11/05/2000,0.17,0.18,0.17,0.0
12/05/2000,0.17,0.19,0.17,0.08
15/05/2000,0.18,0.2,0.18,0.11
16/05/2000,0.2,0.21,0.18,0.14
17/05/2000,0.23,0.22,0.18,0.15
18/05/2000,0.21,0.22,0.18,0.18
19/05/2000,0.21,0.22,0.19,0.16
22/05/2000,0.23,0.22,0.19,0.14
23/05/2000,0.22,0.22,0.19,0.14
24/05/2000,0.22,0.22,0.19,0.13
25/05/2000,0.22,0.23,0.2,0.14
26/05/2000,0.22,0.23,0.2,0.15
30/05/2000,0.23,0.24,0.2,0.18
31/05/2000,0.24,0.25,0.2,0.22
01/06/2000,0.24,0.26,0.2,0.23
02/06/2000,0.27,0.26,0.21,0.2
05/06/2000,0.28,0.27,0.21,0.19
06/06/2000,0.27,0.26,0.22,0.17
07/06/2000,0.25,0.26,0.22,0.15
08/06/2000,0.26,0.26,0.23,0.13
09/06/2000,0.26,0.26,0.23,0.11
12/06/2000,0.26,0.26,0.24,0.11
13/06/2000,0.26,0.27,0.24,0.13
14/06/2000,0.26,0.29,0.24,0.17
15/06/2000,0.27,0.3,0.25,0.21
16/06/2000,0.31,0.32,0.25,0.23
19/06/2000,0.33,0.33,0.26,0.24
20/06/2000,0.33,0.33,0.26,0.22
21/06/2000,0.36,0.34,0.27,0.19
22/06/2000,0.34,0.33,0.27,0.17
23/06/2000,0.31,0.32,0.28,0.12
26/06/2000,0.35,0.3,0.28,0.03
27/06/2000,0.3,0.29,0.29,-0.0
28/06/2000,0.29,0.27,0.29,-0.07
29/06/2000,0.24,0.26,0.29,-0.14
30/06/2000,0.26,0.25,0.29,-0.16
03/07/2000,0.25,0.25,0.29,-0.17
05/07/2000,0.23,0.24,0.29,-0.19
06/07/2000,0.24,0.25,0.29,-0.16
07/07/2000,0.24,0.26,0.29,-0.11
10/07/2000,0.25,0.27,0.28,-0.05
11/07/2000,0.28,0.29,0.29,0.0
12/07/2000,0.28,0.3,0.29,0.03
13/07/2000,0.31,0.3,0.29,0.04
14/07/2000,0.31,0.3,0.29,0.03
17/07/2000,0.3,0.3,0.29,0.02
18/07/2000,0.3,0.29,0.29,0.01
19/07/2000,0.28,0.28,0.29,-0.01
20/07/2000,0.29,0.28,0.28,-0.02
21/07/2000,0.29,0.27,0.28,-0.04
24/07/2000,0.27,0.25,0.28,-0.09
25/07/2000,0.26,0.24,0.27,-0.13
26/07/2000,0.24,0.24,0.27,-0.14
27/07/2000,0.22,0.24,0.27,-0.14
28/07/2000,0.23,0.24,0.27,-0.13
31/07/2000,0.25,0.25,0.27,-0.08
01/08/2000,0.25,0.25,0.26,-0.04
02/08/2000,0.25,0.26,0.27,-0.02
03/08/2000,0.26,0.27,0.27,0.01
04/08/2000,0.27,0.27,0.27,0.02
07/08/2000,0.29,0.28,0.27,0.02
08/08/2000,0.28,0.28,0.27,0.02
09/08/2000,0.27,0.27,0.27,0.01
10/08/2000,0.28,0.28,0.27,0.03
11/08/2000,0.27,0.28,0.27,0.06
14/08/2000,0.27,0.29,0.26,0.1
15/08/2000,0.3,0.3,0.26,0.12
16/08/2000,0.3,0.31,0.27,0.15
17/08/2000,0.31,0.31,0.27,0.14
18/08/2000,0.32,0.31,0.27,0.14
21/08/2000,0.33,0.31,0.27,0.13
22/08/2000,0.3,0.31,0.27,0.14
23/08/2000,0.31,0.31,0.28,0.12
24/08/2000,0.32,0.32,0.28,0.12
25/08/2000,0.31,0.32,0.29,0.11
28/08/2000,0.33,0.32,0.29,0.1
29/08/2000,0.32,0.33,0.29,0.1
30/08/2000,0.33,0.33,0.3,0.1
31/08/2000,0.33,0.33,0.3,0.07
01/09/2000,0.33,0.33,0.3,0.06
05/09/2000,0.33,0.32,0.31,0.04
06/09/2000,0.31,0.31,0.31,0.02
07/09/2000,0.33,0.31,0.31,-0.02
08/09/2000,0.31,0.3,0.31,-0.03
11/09/2000,0.29,0.29,0.31,-0.06
12/09/2000,0.29,0.29,0.31,-0.08
13/09/2000,0.29,0.29,0.31,-0.09
14/09/2000,0.29,0.29,0.31,-0.09
15/09/2000,0.3,0.29,0.31,-0.09
18/09/2000,0.28,0.29,0.31,-0.09
19/09/2000,0.29,0.29,0.31,-0.08
20/09/2000,0.28,0.29,0.31,-0.06
21/09/2000,0.29,0.3,0.31,-0.02
22/09/2000,0.29,0.31,0.31,0.02
25/09/2000,0.32,0.32,0.31,0.06
26/09/2000,0.32,0.33,0.31,0.09
27/09/2000,0.34,0.34,0.31,0.09
28/09/2000,0.35,0.34,0.31,0.08
29/09/2000,0.34,0.33,0.31,0.07
02/10/2000,0.33,0.32,0.31,0.04
03/10/2000,0.32,0.31,0.31,0.01
04/10/2000,0.31,0.3,0.31,-0.02
05/10/2000,0.3,0.29,0.31,-0.05
06/10/2000,0.29,0.28,0.31,-0.07
09/10/2000,0.29,0.28,0.31,-0.1
10/10/2000,0.27,0.27,0.3,-0.12
11/10/2000,0.27,0.27,0.3,-0.13
12/10/2000,0.26,0.26,0.3,-0.15
13/10/2000,0.27,0.26,0.3,-0.16
16/10/2000,0.27,0.26,0.3,-0.16
17/10/2000,0.25,0.26,0.3,-0.15
18/10/2000,0.24,0.27,0.3,-0.13
19/10/2000,0.27,0.27,0.29,-0.09
20/10/2000,0.29,0.27,0.29,-0.08
23/10/2000,0.28,0.27,0.29,-0.07
24/10/2000,0.27,0.26,0.29,-0.09
25/10/2000,0.25,0.26,0.29,-0.12
26/10/2000,0.26,0.25,0.28,-0.11
27/10/2000,0.26,0.25,0.28,-0.09
30/10/2000,0.24,0.26,0.27,-0.06
31/10/2000,0.26,0.27,0.27,-0.01
01/11/2000,0.26,0.28,0.27,0.06
02/11/2000,0.28,0.29,0.27,0.09
03/11/2000,0.3,0.3,0.27,0.1
06/11/2000,0.32,0.29,0.27,0.08
07/11/2000,0.3,0.28,0.27,0.04
08/11/2000,0.29,0.27,0.27,-0.01
09/11/2000,0.26,0.27,0.27,-0.02
10/11/2000,0.25,0.27,0.27,-0.01
13/11/2000,0.25,0.27,0.27,-0.0
14/11/2000,0.29,0.27,0.27,0.01
15/11/2000,0.29,0.27,0.27,-0.0
16/11/2000,0.27,0.26,0.27,-0.04
17/11/2000,0.26,0.25,0.27,-0.09
20/11/2000,0.24,0.24,0.27,-0.11
21/11/2000,0.24,0.24,0.27,-0.13
22/11/2000,0.23,0.23,0.27,-0.16
24/11/2000,0.24,0.22,0.27,-0.18
27/11/2000,0.23,0.21,0.26,-0.23
28/11/2000,0.21,0.2,0.26,-0.29
29/11/2000,0.2,0.19,0.26,-0.34
30/11/2000,0.17,0.19,0.26,-0.4
01/12/2000,0.19,0.18,0.25,-0.37
