Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,6762.11,,,
04/01/2000,6543.76,,,
05/01/2000,6567.03,,,
06/01/2000,6635.44,,,
07/01/2000,6792.67,6761.52,,
10/01/2000,6838.45,6801.78,,
11/01/2000,6774.48,6817.35,,
12/01/2000,6766.55,6811.38,,
13/01/2000,6836.76,6821.28,,
14/01/2000,6870.49,6822.49,,
18/01/2000,6808.64,6807.69,,
19/01/2000,6823.97,6755.81,,
20/01/2000,6772.58,6715.44,,
21/01/2000,6762.75,6679.62,,
24/01/2000,6611.12,6650.54,,
25/01/2000,6606.78,6591.81,,
26/01/2000,6644.85,6584.39,,
27/01/2000,6627.19,6584.41,,
28/01/2000,6469.11,6579.12,,
31/01/2000,6574.01,6585.19,6704.44,-0.02
01/02/2000,6606.89,6617.11,6696.68,-0.01
02/02/2000,6618.42,6621.57,6700.41,-0.01
03/02/2000,6657.54,6630.45,6704.93,-0.01
04/02/2000,6628.67,6611.52,6704.6,-0.01
07/02/2000,6596.32,6579.38,6694.78,-0.02
08/02/2000,6651.3,6531.92,6685.42,-0.02
09/02/2000,6523.78,6492.27,6672.89,-0.03
10/02/2000,6496.82,6453.87,6659.4,-0.03
11/02/2000,6391.4,6428.47,6637.13,-0.03
14/02/2000,6398.06,6400.62,6613.51,-0.03
15/02/2000,6459.28,6363.0,6596.04,-0.04
16/02/2000,6396.79,6331.34,6574.68,-0.04
17/02/2000,6357.56,6284.29,6553.93,-0.04
18/02/2000,6203.29,6239.03,6525.96,-0.05
22/02/2000,6239.77,6186.5,6507.39,-0.05
23/02/2000,6224.02,6181.28,6488.25,-0.05
24/02/2000,6170.51,6186.61,6464.54,-0.05
25/02/2000,6094.91,6209.55,6437.92,-0.04
28/02/2000,6177.17,6247.47,6423.33,-0.03
29/02/2000,6266.42,6319.48,6407.95,-0.01
01/03/2000,6338.74,6361.39,6394.54,-0.01
02/03/2000,6360.1,6352.78,6381.62,-0.0
03/03/2000,6454.95,6335.34,6371.49,-0.01
06/03/2000,6386.74,6338.51,6359.4,-0.0
07/03/2000,6223.38,6314.97,6340.75,-0.0
08/03/2000,6251.51,6295.07,6320.76,-0.0
09/03/2000,6375.96,6294.78,6313.37,-0.0
10/03/2000,6337.26,6323.94,6305.39,0.0
13/03/2000,6287.25,6390.43,6300.18,0.01
14/03/2000,6221.9,6461.57,6291.38,0.03
15/03/2000,6397.32,6538.82,6288.28,0.04
16/03/2000,6708.4,6653.77,6303.86,0.05
17/03/2000,6692.96,6734.6,6320.63,0.06
20/03/2000,6673.5,6772.39,6344.14,0.06
21/03/2000,6796.69,6813.67,6371.98,0.06
22/03/2000,6801.45,6851.74,6400.86,0.07
23/03/2000,6897.35,6857.38,6437.2,0.06
24/03/2000,6899.36,6870.32,6477.42,0.06
27/03/2000,6863.83,6856.28,6511.75,0.05
28/03/2000,6824.92,6846.13,6539.68,0.04
29/03/2000,6866.16,6868.38,6566.05,0.04
30/03/2000,6827.14,6882.84,6589.4,0.04
31/03/2000,6848.61,6885.32,6609.08,0.04
03/04/2000,6975.07,6913.06,6638.5,0.04
04/04/2000,6897.24,6937.87,6672.19,0.04
05/04/2000,6878.53,6937.98,6703.55,0.03
06/04/2000,6965.87,6956.8,6733.04,0.03
07/04/2000,6972.64,6964.66,6764.81,0.03
10/04/2000,6975.6,6934.68,6799.23,0.02
11/04/2000,6991.35,6833.29,6837.7,-0.0
12/04/2000,6917.86,6749.76,6863.73,-0.02
13/04/2000,6815.93,6693.95,6869.1,-0.03
14/04/2000,6465.73,6649.59,6857.74,-0.03
17/04/2000,6557.93,6638.59,6851.96,-0.03
18/04/2000,6712.31,6703.49,6847.74,-0.02
19/04/2000,6696.03,6785.04,6842.47,-0.01
20/04/2000,6760.95,6826.28,6835.65,-0.0
24/04/2000,6790.24,6862.61,6830.2,0.0
25/04/2000,6965.66,6872.65,6835.29,0.01
26/04/2000,6918.5,6890.39,6839.97,0.01
27/04/2000,6877.68,6862.86,6840.54,0.0
28/04/2000,6811.17,6815.49,6839.74,-0.0
