Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,1211.79,,,
04/01/2000,1182.03,,,
05/01/2000,1131.3,,,
07/01/2000,1152.54,,,
10/01/2000,1184.77,1182.66,,
11/01/2000,1190.34,1195.74,,
12/01/2000,1190.15,1207.92,,
13/01/2000,1195.48,1212.93,,
14/01/2000,1217.95,1217.66,,
17/01/2000,1245.69,1222.11,,
18/01/2000,1215.4,1222.16,,
19/01/2000,1213.77,1218.92,,
20/01/2000,1217.73,1218.92,,
21/01/2000,1218.19,1221.43,,
24/01/2000,1229.51,1220.83,,
25/01/2000,1215.41,1226.39,,
26/01/2000,1226.31,1224.54,,
27/01/2000,1214.75,1233.69,,
28/01/2000,1245.99,1251.19,,
31/01/2000,1220.23,1271.96,1205.97,0.05
01/02/2000,1261.15,1288.63,1208.43,0.06
02/02/2000,1313.84,1314.44,1215.03,0.08
03/02/2000,1318.61,1333.46,1224.39,0.08
04/02/2000,1329.3,1343.36,1233.23,0.08
07/02/2000,1349.28,1353.87,1241.45,0.08
08/02/2000,1356.27,1363.83,1249.75,0.08
09/02/2000,1363.34,1364.04,1258.41,0.08
10/02/2000,1371.14,1354.77,1267.19,0.06
11/02/2000,1379.14,1350.77,1275.25,0.05
14/02/2000,1350.31,1346.95,1280.48,0.05
15/02/2000,1309.94,1345.39,1285.21,0.05
16/02/2000,1343.31,1350.59,1291.69,0.04
17/02/2000,1352.06,1358.17,1298.4,0.04
18/02/2000,1371.35,1362.51,1306.06,0.04
21/02/2000,1376.3,1368.07,1313.4,0.04
22/02/2000,1347.83,1379.32,1320.02,0.04
23/02/2000,1365.03,1390.56,1326.96,0.05
24/02/2000,1379.84,1407.89,1335.21,0.05
25/02/2000,1427.61,1427.63,1344.29,0.06
28/02/2000,1432.47,1454.79,1354.91,0.07
29/02/2000,1434.5,1475.27,1363.57,0.08
01/03/2000,1463.75,1496.24,1371.07,0.09
02/03/2000,1515.62,1517.14,1380.92,0.09
03/03/2000,1530.02,1520.55,1390.96,0.08
06/03/2000,1537.33,1513.8,1400.36,0.07
07/03/2000,1539.0,1508.6,1409.49,0.06
08/03/2000,1480.78,1494.45,1415.37,0.05
09/03/2000,1481.87,1480.02,1420.9,0.04
10/03/2000,1504.02,1465.82,1427.15,0.03
13/03/2000,1466.58,1451.02,1432.96,0.01
14/03/2000,1466.87,1439.05,1440.81,-0.0
15/03/2000,1409.77,1443.81,1444.13,-0.0
16/03/2000,1407.84,1446.34,1446.92,-0.0
17/03/2000,1444.19,1463.59,1450.56,0.01
20/03/2000,1490.38,1475.44,1456.26,0.01
21/03/2000,1479.51,1482.35,1462.85,0.01
22/03/2000,1496.01,1478.98,1469.4,0.01
23/03/2000,1467.11,1471.21,1473.76,-0.0
24/03/2000,1478.75,1457.59,1476.32,-0.01
27/03/2000,1473.53,1441.61,1478.37,-0.02
28/03/2000,1440.67,1422.59,1478.68,-0.04
29/03/2000,1427.88,1401.68,1476.89,-0.05
30/03/2000,1387.21,1385.37,1470.47,-0.06
31/03/2000,1383.66,1363.91,1463.15,-0.07
03/04/2000,1368.99,1363.86,1454.73,-0.07
04/04/2000,1359.11,1368.86,1445.74,-0.06
05/04/2000,1320.59,1377.9,1437.73,-0.05
06/04/2000,1386.93,1379.81,1432.98,-0.04
07/04/2000,1408.66,1383.86,1428.21,-0.03
10/04/2000,1414.2,1368.97,1425.59,-0.04
11/04/2000,1368.65,1342.39,1420.68,-0.06
12/04/2000,1340.84,1317.78,1417.24,-0.07
13/04/2000,1312.51,1309.22,1412.47,-0.08
14/04/2000,1275.73,1314.49,1404.05,-0.07
17/04/2000,1291.18,1321.57,1394.09,-0.06
18/04/2000,1325.83,1336.19,1386.4,-0.04
19/04/2000,1367.19,1353.77,1379.96,-0.02
20/04/2000,1347.91,1369.37,1374.0,-0.0
25/04/2000,1348.83,1381.85,1367.5,0.01
26/04/2000,1379.09,1404.77,1362.78,0.03
27/04/2000,1403.81,1420.2,1360.94,0.04
28/04/2000,1429.61,1432.25,1361.03,0.05
02/05/2000,1462.53,1439.53,1364.79,0.05
03/05/2000,1425.97,1435.81,1366.91,0.05
04/05/2000,1439.33,1423.03,1370.43,0.04
05/05/2000,1440.19,1409.7,1374.48,0.02
08/05/2000,1411.02,1393.57,1379.0,0.01
09/05/2000,1398.63,1382.34,1379.59,0.0
10/05/2000,1359.32,1373.96,1377.12,-0.0
11/05/2000,1358.68,1380.01,1374.34,0.0
12/05/2000,1384.06,1391.41,1375.11,0.01
15/05/2000,1369.1,1405.49,1376.53,0.02
16/05/2000,1428.89,1402.6,1382.35,0.01
17/05/2000,1416.34,1391.6,1389.38,0.0
18/05/2000,1429.04,1376.23,1396.27,-0.01
19/05/2000,1369.62,1351.45,1398.46,-0.03
22/05/2000,1314.11,1333.92,1395.8,-0.05
23/05/2000,1352.05,1323.15,1396.01,-0.05
24/05/2000,1292.45,1325.33,1393.19,-0.05
25/05/2000,1341.38,1328.23,1391.31,-0.05
26/05/2000,1315.76,1345.17,1386.9,-0.03
29/05/2000,1325.02,1365.37,1381.67,-0.01
30/05/2000,1366.54,1386.59,1376.88,0.01
31/05/2000,1377.15,1406.61,1374.43,0.02
02/06/2000,1442.36,1416.32,1374.59,0.03
05/06/2000,1421.87,1425.36,1373.67,0.04
06/06/2000,1425.15,1420.95,1374.38,0.03
07/06/2000,1415.06,1411.65,1375.2,0.03
08/06/2000,1422.34,1400.28,1378.35,0.02
09/06/2000,1420.32,1385.58,1381.43,0.0
13/06/2000,1375.37,1368.73,1381.0,-0.01
14/06/2000,1368.32,1349.19,1380.96,-0.02
15/06/2000,1341.54,1350.43,1376.59,-0.02
16/06/2000,1338.09,1349.27,1372.68,-0.02
19/06/2000,1322.63,1348.81,1367.36,-0.01
20/06/2000,1381.55,1347.52,1367.95,-0.01
21/06/2000,1362.56,1344.14,1370.38,-0.02
22/06/2000,1339.23,1334.33,1369.73,-0.03
