Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,53.18,,,
04/01/2000,52.16,,,
05/01/2000,51.17,,,
06/01/2000,53.52,,,
07/01/2000,57.8,57.07,,
10/01/2000,57.53,57.77,,
11/01/2000,58.42,57.82,,
12/01/2000,58.05,57.92,,
13/01/2000,57.06,57.69,,
14/01/2000,58.05,57.25,,
18/01/2000,58.02,56.02,,
19/01/2000,57.25,54.62,,
20/01/2000,55.85,52.69,,
21/01/2000,50.95,51.23,,
24/01/2000,51.04,50.39,,
25/01/2000,48.38,50.15,,
26/01/2000,49.93,49.97,,
27/01/2000,51.63,50.17,,
28/01/2000,49.77,49.97,,
31/01/2000,50.14,49.35,54.0,-0.09
01/02/2000,49.37,48.8,53.81,-0.1
02/02/2000,48.94,48.02,53.64,-0.11
03/02/2000,48.53,47.65,53.51,-0.12
04/02/2000,47.01,47.19,53.19,-0.13
07/02/2000,46.27,46.56,52.61,-0.13
08/02/2000,47.51,46.46,52.11,-0.12
09/02/2000,46.64,46.32,51.52,-0.11
10/02/2000,45.37,46.32,50.89,-0.1
11/02/2000,46.52,46.33,50.36,-0.09
14/02/2000,45.59,46.6,49.74,-0.07
15/02/2000,47.51,46.59,49.21,-0.06
16/02/2000,46.66,46.69,48.68,-0.04
17/02/2000,46.73,46.18,48.22,-0.04
18/02/2000,46.46,45.63,48.0,-0.05
22/02/2000,46.08,44.73,47.75,-0.07
23/02/2000,44.97,44.21,47.58,-0.07
24/02/2000,43.91,43.71,47.28,-0.08
25/02/2000,42.24,43.48,46.81,-0.08
28/02/2000,43.85,43.36,46.51,-0.07
29/02/2000,43.6,43.69,46.19,-0.06
01/03/2000,43.79,43.6,45.91,-0.05
02/03/2000,43.32,40.93,45.63,-0.11
03/03/2000,43.88,37.93,45.4,-0.17
06/03/2000,43.38,34.99,45.21,-0.24
07/03/2000,30.27,31.55,44.41,-0.42
08/03/2000,28.78,28.55,43.48,-0.52
09/03/2000,28.65,28.03,42.58,-0.51
