Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,19.81,,,
04/01/2000,19.5,,,
05/01/2000,19.25,,,
06/01/2000,19.62,,,
07/01/2000,20.0,19.99,,
10/01/2000,20.12,20.05,,
11/01/2000,20.19,20.0,,
12/01/2000,20.0,19.99,,
13/01/2000,19.94,19.99,,
14/01/2000,19.75,20.05,,
18/01/2000,20.06,20.15,,
19/01/2000,20.19,20.27,,
20/01/2000,20.31,20.35,,
21/01/2000,20.44,20.41,,
24/01/2000,20.38,20.46,,
25/01/2000,20.44,20.48,,
26/01/2000,20.5,20.49,,
27/01/2000,20.56,20.51,,
28/01/2000,20.5,20.51,,
31/01/2000,20.44,20.51,20.1,0.02
01/02/2000,20.56,20.51,20.14,0.02
02/02/2000,20.5,20.54,20.19,0.02
03/02/2000,20.56,20.51,20.25,0.01
04/02/2000,20.5,20.5,20.3,0.01
07/02/2000,20.56,20.48,20.32,0.01
08/02/2000,20.44,20.39,20.34,0.0
09/02/2000,20.44,20.34,20.35,-0.0
10/02/2000,20.44,20.38,20.38,0.0
11/02/2000,20.06,20.41,20.38,0.0
14/02/2000,20.31,20.44,20.41,0.0
15/02/2000,20.62,20.52,20.44,0.0
16/02/2000,20.62,20.57,20.46,0.01
17/02/2000,20.56,20.55,20.47,0.0
18/02/2000,20.5,20.51,20.48,0.0
22/02/2000,20.56,20.45,20.48,-0.0
23/02/2000,20.5,20.38,20.49,-0.01
24/02/2000,20.44,20.3,20.48,-0.01
25/02/2000,20.25,20.24,20.47,-0.01
28/02/2000,20.12,20.18,20.45,-0.01
29/02/2000,20.19,20.14,20.44,-0.01
01/03/2000,20.19,20.15,20.42,-0.01
02/03/2000,20.12,20.15,20.4,-0.01
03/03/2000,20.06,20.16,20.38,-0.01
06/03/2000,20.19,20.18,20.36,-0.01
07/03/2000,20.19,20.2,20.34,-0.01
08/03/2000,20.25,20.2,20.33,-0.01
09/03/2000,20.19,20.24,20.32,-0.0
10/03/2000,20.19,20.34,20.31,0.0
13/03/2000,20.19,20.49,20.31,0.01
14/03/2000,20.38,20.64,20.32,0.02
15/03/2000,20.75,20.8,20.32,0.02
16/03/2000,20.94,20.93,20.34,0.03
17/03/2000,20.94,21.05,20.36,0.03
20/03/2000,21.0,21.16,20.38,0.04
21/03/2000,21.0,21.25,20.4,0.04
22/03/2000,21.38,21.31,20.45,0.04
23/03/2000,21.5,21.34,20.5,0.04
24/03/2000,21.38,21.3,20.56,0.03
27/03/2000,21.31,21.24,20.62,0.03
28/03/2000,21.12,21.26,20.66,0.03
29/03/2000,21.19,21.25,20.71,0.03
30/03/2000,21.19,21.31,20.77,0.03
31/03/2000,21.5,21.35,20.84,0.02
03/04/2000,21.25,21.38,20.89,0.02
04/04/2000,21.44,21.34,20.95,0.02
05/04/2000,21.38,21.36,21.01,0.02
06/04/2000,21.31,21.38,21.07,0.01
07/04/2000,21.31,21.43,21.12,0.01
10/04/2000,21.38,21.51,21.18,0.02
11/04/2000,21.5,21.57,21.24,0.02
12/04/2000,21.62,21.61,21.28,0.02
13/04/2000,21.75,21.66,21.32,0.02
14/04/2000,21.62,21.74,21.36,0.02
17/04/2000,21.56,21.76,21.38,0.02
18/04/2000,21.75,21.84,21.42,0.02
19/04/2000,22.0,21.93,21.45,0.02
20/04/2000,21.88,21.99,21.47,0.02
24/04/2000,22.0,21.99,21.5,0.02
25/04/2000,22.0,22.02,21.54,0.02
26/04/2000,22.06,22.14,21.58,0.03
27/04/2000,22.0,22.31,21.62,0.03
28/04/2000,22.06,22.48,21.67,0.04
01/05/2000,22.56,22.64,21.72,0.04
02/05/2000,22.88,22.8,21.8,0.04
03/05/2000,22.88,22.84,21.88,0.04
04/05/2000,22.81,22.86,21.95,0.04
05/05/2000,22.88,22.85,22.02,0.04
08/05/2000,22.75,22.84,22.1,0.03
09/05/2000,23.0,22.84,22.18,0.03
10/05/2000,22.81,22.88,22.24,0.03
11/05/2000,22.75,22.86,22.3,0.02
12/05/2000,22.88,22.84,22.36,0.02
15/05/2000,22.94,22.79,22.42,0.02
16/05/2000,22.94,22.66,22.49,0.01
17/05/2000,22.69,22.52,22.54,-0.0
18/05/2000,22.5,22.44,22.56,-0.01
19/05/2000,22.25,22.39,22.58,-0.01
22/05/2000,22.25,22.38,22.59,-0.01
23/05/2000,22.5,22.44,22.62,-0.01
24/05/2000,22.44,22.49,22.64,-0.01
25/05/2000,22.44,22.49,22.66,-0.01
26/05/2000,22.56,22.49,22.68,-0.01
30/05/2000,22.5,22.49,22.68,-0.01
31/05/2000,22.5,22.46,22.66,-0.01
01/06/2000,22.44,22.48,22.64,-0.01
02/06/2000,22.44,22.51,22.62,-0.0
05/06/2000,22.44,22.6,22.6,0.0
06/06/2000,22.56,22.68,22.59,0.0
07/06/2000,22.69,22.76,22.57,0.01
08/06/2000,22.88,22.85,22.58,0.01
09/06/2000,22.81,22.95,22.58,0.02
12/06/2000,22.88,23.01,22.58,0.02
13/06/2000,23.0,23.06,22.58,0.02
14/06/2000,23.19,23.11,22.6,0.02
15/06/2000,23.19,23.19,22.62,0.02
16/06/2000,23.06,23.23,22.65,0.02
19/06/2000,23.12,23.29,22.69,0.03
20/06/2000,23.38,23.35,22.75,0.03
21/06/2000,23.38,23.39,22.79,0.03
22/06/2000,23.5,23.38,22.85,0.02
23/06/2000,23.38,23.38,22.89,0.02
26/06/2000,23.31,23.4,22.93,0.02
27/06/2000,23.31,23.29,22.97,0.01
28/06/2000,23.38,23.23,23.02,0.01
29/06/2000,23.62,23.23,23.07,0.01
30/06/2000,22.83,23.32,23.09,0.01
03/07/2000,23.0,23.38,23.12,0.01
05/07/2000,23.31,23.61,23.16,0.02
06/07/2000,23.81,23.8,23.22,0.02
07/07/2000,23.94,23.9,23.27,0.03
