Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,94.36,,,
04/01/2000,87.89,,,
05/01/2000,85.64,,,
06/01/2000,79.76,,,
07/01/2000,89.63,86.97,,
10/01/2000,92.12,89.19,,
11/01/2000,87.64,89.86,,
12/01/2000,85.71,90.14,,
13/01/2000,90.87,91.73,,
14/01/2000,92.99,93.52,,
18/01/2000,93.49,94.52,,
19/01/2000,95.6,94.17,,
20/01/2000,94.67,94.0,,
21/01/2000,95.85,92.65,,
24/01/2000,91.25,91.76,,
25/01/2000,92.62,89.71,,
26/01/2000,88.88,89.33,,
27/01/2000,90.19,89.15,,
28/01/2000,85.64,89.87,,
31/01/2000,89.32,91.05,90.21,0.01
01/02/2000,91.71,93.28,90.07,0.03
02/02/2000,92.49,95.03,90.3,0.05
03/02/2000,96.1,97.13,90.83,0.07
04/02/2000,96.75,98.35,91.68,0.07
07/02/2000,98.09,99.49,92.1,0.08
08/02/2000,102.2,100.03,92.6,0.07
09/02/2000,98.59,100.28,93.15,0.07
10/02/2000,101.83,99.85,93.96,0.06
11/02/2000,99.46,100.05,94.39,0.06
14/02/2000,99.34,100.03,94.7,0.05
15/02/2000,100.05,99.74,95.03,0.05
16/02/2000,99.59,99.54,95.23,0.04
17/02/2000,101.7,100.3,95.58,0.05
18/02/2000,98.03,101.59,95.69,0.06
22/02/2000,98.34,101.98,96.05,0.06
23/02/2000,103.82,103.08,96.61,0.06
24/02/2000,106.06,104.68,97.47,0.07
25/02/2000,103.63,105.35,98.14,0.07
28/02/2000,103.57,105.08,99.03,0.06
29/02/2000,106.31,106.47,99.88,0.06
01/03/2000,107.18,108.05,100.66,0.07
02/03/2000,104.7,108.75,101.27,0.07
03/03/2000,110.6,109.47,101.99,0.07
06/03/2000,111.47,111.44,102.73,0.08
07/03/2000,109.79,112.12,103.31,0.08
08/03/2000,110.79,112.03,103.74,0.07
09/03/2000,114.52,111.46,104.54,0.06
10/03/2000,114.03,109.79,105.15,0.04
13/03/2000,111.04,108.55,105.73,0.03
14/03/2000,106.93,107.81,106.11,0.02
15/03/2000,102.45,107.06,106.23,0.01
16/03/2000,108.3,107.93,106.66,0.01
17/03/2000,110.35,110.14,107.1,0.03
20/03/2000,107.24,111.59,107.56,0.04
21/03/2000,111.29,112.93,108.2,0.04
22/03/2000,113.53,114.94,108.69,0.06
23/03/2000,115.52,115.53,109.16,0.06
24/03/2000,117.08,114.74,109.83,0.04
27/03/2000,117.26,112.99,110.52,0.02
28/03/2000,114.28,111.39,110.92,0.0
29/03/2000,109.55,108.44,111.04,-0.02
30/03/2000,106.81,105.89,111.14,-0.05
31/03/2000,109.05,103.92,111.06,-0.07
03/04/2000,102.51,102.97,110.62,-0.07
04/04/2000,101.52,102.4,110.2,-0.08
05/04/2000,99.71,101.84,109.65,-0.08
06/04/2000,102.08,101.01,109.03,-0.08
07/04/2000,106.18,99.46,108.63,-0.09
10/04/2000,99.71,96.57,108.07,-0.12
11/04/2000,97.35,91.35,107.59,-0.17
12/04/2000,91.99,89.25,107.06,-0.19
13/04/2000,87.64,88.11,106.03,-0.2
14/04/2000,80.04,87.47,104.52,-0.21
17/04/2000,89.25,87.32,103.62,-0.18
18/04/2000,91.62,88.2,102.63,-0.16
19/04/2000,88.82,88.36,101.4,-0.15
20/04/2000,86.89,87.44,99.97,-0.14
24/04/2000,84.4,87.85,98.33,-0.12
25/04/2000,90.09,89.35,96.97,-0.08
26/04/2000,87.01,91.51,95.61,-0.05
27/04/2000,90.87,91.45,94.68,-0.04
28/04/2000,94.36,91.79,94.05,-0.02
01/05/2000,95.23,91.41,93.36,-0.02
02/05/2000,89.75,90.75,92.73,-0.02
03/05/2000,88.76,89.2,92.09,-0.03
04/05/2000,88.94,88.38,91.55,-0.04
05/05/2000,91.06,86.52,91.0,-0.05
08/05/2000,87.51,85.58,90.07,-0.05
09/05/2000,85.64,84.23,89.36,-0.06
10/05/2000,79.42,84.31,88.47,-0.05
11/05/2000,84.28,85.27,88.08,-0.03
12/05/2000,84.28,87.1,87.91,-0.01
15/05/2000,87.95,87.32,88.31,-0.01
16/05/2000,90.44,86.74,88.37,-0.02
17/05/2000,88.57,85.41,88.21,-0.03
18/05/2000,85.4,82.22,88.04,-0.07
19/05/2000,81.35,80.34,87.77,-0.09
22/05/2000,81.29,78.75,87.61,-0.11
23/05/2000,74.5,77.96,86.83,-0.12
24/05/2000,79.17,78.75,86.44,-0.1
25/05/2000,77.43,80.4,85.77,-0.07
26/05/2000,77.43,81.97,84.92,-0.04
30/05/2000,85.21,85.13,84.42,0.01
31/05/2000,82.78,88.34,84.07,0.05
01/06/2000,87.01,89.48,83.98,0.06
02/06/2000,93.24,91.58,84.2,0.08
05/06/2000,93.47,92.75,84.32,0.09
06/06/2000,90.87,92.77,84.49,0.09
07/06/2000,93.3,92.15,84.87,0.08
08/06/2000,92.86,92.75,85.54,0.08
09/06/2000,93.36,92.44,86.0,0.07
12/06/2000,90.37,92.54,86.3,0.07
