Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,1200.0,,,
04/01/2000,1332.0,,,
05/01/2000,1170.0,,,
06/01/2000,1098.0,,,
07/01/2000,1193.62,1144.72,,
10/01/2000,1203.0,1141.72,,
11/01/2000,1098.0,1123.8,,
12/01/2000,1131.0,1092.0,,
13/01/2000,1083.0,1069.5,,
14/01/2000,1104.0,1066.2,,
18/01/2000,1044.0,1054.5,,
19/01/2000,985.5,1020.3,,
20/01/2000,1114.5,992.1,,
21/01/2000,1024.5,972.6,,
24/01/2000,933.0,950.1,,
25/01/2000,903.0,932.7,,
26/01/2000,888.0,930.9,,
27/01/2000,1002.0,958.8,,
28/01/2000,937.5,1008.0,,
31/01/2000,924.0,1041.0,1068.43,-0.03
01/02/2000,1042.5,1078.8,1060.56,0.02
02/02/2000,1134.0,1134.0,1050.66,0.07
03/02/2000,1167.0,1180.5,1050.51,0.11
04/02/2000,1126.5,1235.7,1051.93,0.16
07/02/2000,1200.0,1362.0,1052.25,0.26
08/02/2000,1275.0,1592.7,1055.85,0.42
09/02/2000,1410.0,1735.8,1071.45,0.47
10/02/2000,1798.5,1807.2,1104.83,0.39
11/02/2000,2280.0,1923.6,1164.67,0.33
14/02/2000,1915.5,1967.1,1205.25,0.4
15/02/2000,1632.0,1934.7,1234.65,0.43
16/02/2000,1992.0,2007.9,1284.97,0.36
17/02/2000,2016.0,2190.3,1330.05,0.43
18/02/2000,2118.0,2271.9,1384.72,0.42
22/02/2000,2281.5,2317.5,1452.15,0.38
23/02/2000,2544.0,2347.8,1534.2,0.32
24/02/2000,2400.0,2346.3,1609.8,0.31
25/02/2000,2244.0,2277.3,1671.9,0.27
28/02/2000,2269.5,2228.7,1738.5,0.22
29/02/2000,2274.0,2228.4,1806.0,0.19
01/03/2000,2199.0,2230.5,1863.83,0.17
02/03/2000,2157.0,2220.9,1914.97,0.14
03/03/2000,2242.5,2211.9,1968.75,0.11
06/03/2000,2280.0,2199.3,2026.42,0.08
07/03/2000,2226.0,2151.0,2077.72,0.03
08/03/2000,2154.0,2061.0,2121.68,-0.03
09/03/2000,2094.0,1984.2,2155.88,-0.08
10/03/2000,2001.0,1936.2,2166.0,-0.11
13/03/2000,1830.0,1907.4,2143.5,-0.13
14/03/2000,1842.0,1905.6,2139.82,-0.13
15/03/2000,1914.0,1920.0,2153.93,-0.12
16/03/2000,1950.0,1897.2,2151.82,-0.13
17/03/2000,1992.0,1873.8,2150.62,-0.14
20/03/2000,1902.0,1831.5,2139.82,-0.16
21/03/2000,1728.0,1759.5,2112.15,-0.2
22/03/2000,1797.0,1670.1,2074.8,-0.23
23/03/2000,1738.5,1588.2,2041.72,-0.26
24/03/2000,1632.0,1528.8,2011.12,-0.3
27/03/2000,1455.0,1450.2,1970.4,-0.36
28/03/2000,1318.5,1381.2,1922.62,-0.41
29/03/2000,1500.0,1296.3,1887.67,-0.39
30/03/2000,1345.5,1233.6,1847.1,-0.46
31/03/2000,1287.0,1164.0,1799.33,-0.49
03/04/2000,1030.5,1154.1,1736.85,-0.57
04/04/2000,1005.0,1183.5,1675.8,-0.49
05/04/2000,1152.0,1233.0,1625.7,-0.34
06/04/2000,1296.0,1260.0,1585.8,-0.25
07/04/2000,1434.0,1237.2,1557.45,-0.22
10/04/2000,1278.0,1160.4,1529.85,-0.29
11/04/2000,1140.0,1015.2,1494.75,-0.42
12/04/2000,1038.0,896.4,1450.95,-0.53
13/04/2000,912.0,842.4,1399.05,-0.61
14/04/2000,708.0,810.0,1334.85,-0.74
17/04/2000,684.0,800.4,1273.95,-0.69
18/04/2000,870.0,810.0,1231.05,-0.48
19/04/2000,876.0,837.6,1185.0,-0.4
20/04/2000,864.0,819.6,1141.28,-0.37
24/04/2000,756.0,810.0,1097.47,-0.38
