Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,4849.22,,,
04/01/2000,4657.83,,,
05/01/2000,4541.75,,,
06/01/2000,4500.69,,,
07/01/2000,4648.27,4637.37,,
10/01/2000,4714.03,4639.55,,
11/01/2000,4671.5,4612.51,,
12/01/2000,4649.3,4615.25,,
13/01/2000,4688.35,4636.76,,
14/01/2000,4829.36,4674.29,,
17/01/2000,4884.5,4710.51,,
18/01/2000,4761.0,4744.6,,
19/01/2000,4768.37,4762.5,,
20/01/2000,4778.71,4786.32,,
21/01/2000,4719.29,4804.39,,
24/01/2000,4718.76,4782.37,,
25/01/2000,4653.61,4749.23,,
26/01/2000,4721.03,4727.75,,
27/01/2000,4786.82,4718.28,,
28/01/2000,4781.94,4719.9,4636.76,0.02
31/01/2000,4684.48,4732.43,4674.29,0.01
01/02/2000,4792.04,4725.58,4710.51,0.0
02/02/2000,4902.12,4753.26,4744.6,0.0
03/02/2000,5046.12,4789.48,4762.5,0.01
04/02/2000,5119.79,4841.34,4786.32,0.01
07/02/2000,5041.08,4908.91,4804.39,0.02
08/02/2000,5176.17,4980.23,4782.37,0.04
09/02/2000,5191.79,5057.06,4749.23,0.06
10/02/2000,5174.35,5114.99,4727.75,0.07
11/02/2000,5195.67,5140.64,4718.28,0.08
14/02/2000,5166.08,5155.81,4719.9,0.08
15/02/2000,5043.33,5180.81,4732.43,0.09
16/02/2000,5063.73,5154.24,4725.58,0.08
17/02/2000,5114.47,5128.63,4753.26,0.07
18/02/2000,5079.59,5116.66,4789.48,0.06
21/02/2000,5033.33,5093.44,4841.34,0.05
22/02/2000,5024.05,5066.89,4908.91,0.03
23/02/2000,5086.0,5063.03,4980.23,0.02
24/02/2000,5117.41,5067.49,5057.06,0.0
25/02/2000,5208.87,5068.08,5114.99,-0.01
28/02/2000,5126.33,5093.93,5140.64,-0.01
29/02/2000,5182.62,5112.53,5155.81,-0.01
01/03/2000,5235.14,5144.25,5180.81,-0.01
02/03/2000,5406.37,5174.07,5154.24,0.0
03/03/2000,5450.22,5231.87,5128.63,0.02
06/03/2000,5464.43,5280.14,5116.66,0.03
07/03/2000,5426.36,5347.76,5093.44,0.05
08/03/2000,5364.52,5396.5,5066.89,0.06
09/03/2000,5352.88,5422.38,5063.03,0.07
10/03/2000,5416.81,5411.68,5067.49,0.06
13/03/2000,5254.41,5405.0,5068.08,0.06
14/03/2000,5258.32,5363.0,5093.93,0.05
15/03/2000,5083.15,5329.39,5112.53,0.04
16/03/2000,5175.23,5273.11,5144.25,0.02
17/03/2000,5231.35,5237.58,5174.07,0.01
20/03/2000,5286.71,5200.49,5231.87,-0.01
21/03/2000,5266.23,5206.95,5280.14,-0.01
22/03/2000,5268.35,5208.53,5347.76,-0.03
23/03/2000,5259.15,5245.57,5396.5,-0.03
24/03/2000,5379.75,5262.36,5422.38,-0.03
27/03/2000,5369.11,5292.04,5411.68,-0.02
28/03/2000,5426.57,5308.52,5405.0,-0.02
29/03/2000,5416.32,5340.59,5363.0,-0.0
30/03/2000,5251.97,5370.18,5329.39,0.01
31/03/2000,5249.55,5368.74,5273.11,0.02
03/04/2000,5118.37,5342.7,5237.58,0.02
04/04/2000,5176.71,5292.56,5200.49,0.02
05/04/2000,5044.17,5242.58,5206.95,0.01
06/04/2000,5179.96,5168.15,5208.53,-0.01
07/04/2000,5259.52,5153.75,5245.57,-0.02
10/04/2000,5282.26,5155.75,5262.36,-0.02
11/04/2000,5174.38,5188.52,5292.04,-0.02
12/04/2000,5179.28,5188.06,5308.52,-0.02
13/04/2000,5181.33,5215.08,5340.59,-0.02
14/04/2000,5034.25,5215.35,5370.18,-0.03
17/04/2000,4979.66,5170.3,5368.74,-0.04
18/04/2000,5061.9,5109.78,5342.7,-0.05
19/04/2000,5078.69,5087.28,5292.56,-0.04
20/04/2000,5117.78,5067.17,5242.58,-0.03
25/04/2000,5158.13,5054.46,5168.15,-0.02
26/04/2000,5245.11,5079.23,5153.75,-0.01
27/04/2000,5171.96,5132.32,5155.75,-0.0
28/04/2000,5303.95,5154.33,5188.52,-0.01
02/05/2000,5434.81,5199.39,5188.06,0.0
03/05/2000,5316.94,5262.79,5215.08,0.01
04/05/2000,5306.32,5294.55,5215.35,0.01
05/05/2000,5351.71,5306.8,5170.3,0.03
08/05/2000,5285.09,5342.75,5109.78,0.04
09/05/2000,5182.73,5338.97,5087.28,0.05
