Date,Close,5DayMAV,20DayMAV,DIFof2Av
03/01/2000,39.16,,,
04/01/2000,38.41,,,
05/01/2000,40.5,,,
06/01/2000,42.59,,,
07/01/2000,42.47,40.16,,
10/01/2000,41.88,40.63,,
11/01/2000,42.0,41.17,,
12/01/2000,41.75,41.89,,
13/01/2000,42.72,42.14,,
14/01/2000,41.88,42.16,,
18/01/2000,42.38,42.04,,
19/01/2000,42.78,42.14,,
20/01/2000,41.84,42.3,,
21/01/2000,42.5,42.32,,
24/01/2000,42.12,42.28,,
25/01/2000,42.03,42.33,,
26/01/2000,41.75,42.26,,
27/01/2000,40.5,42.05,,
28/01/2000,39.44,41.78,,
31/01/2000,41.44,41.17,41.51,-0.01
01/02/2000,41.59,41.03,41.63,-0.01
02/02/2000,41.91,40.94,41.8,-0.02
03/02/2000,41.19,40.98,41.84,-0.02
04/02/2000,40.44,41.11,41.73,-0.02
07/02/2000,40.38,41.31,41.63,-0.01
08/02/2000,39.47,41.1,41.5,-0.01
09/02/2000,38.12,40.68,41.31,-0.02
10/02/2000,37.94,39.92,41.12,-0.03
11/02/2000,36.94,39.27,40.83,-0.04
14/02/2000,38.22,38.57,40.65,-0.05
15/02/2000,39.66,38.14,40.51,-0.06
16/02/2000,40.0,38.18,40.37,-0.05
17/02/2000,38.94,38.55,40.23,-0.04
18/02/2000,37.5,38.75,39.98,-0.03
22/02/2000,37.72,38.86,39.76,-0.02
23/02/2000,37.31,38.76,39.52,-0.02
24/02/2000,36.41,38.29,39.25,-0.03
25/02/2000,35.53,37.58,39.01,-0.04
28/02/2000,36.75,36.89,38.87,-0.05
29/02/2000,37.66,36.74,38.68,-0.05
01/03/2000,38.03,36.73,38.5,-0.05
02/03/2000,38.5,36.88,38.33,-0.04
03/03/2000,37.84,37.29,38.17,-0.02
06/03/2000,36.47,37.76,37.97,-0.01
07/03/2000,40.0,37.7,37.95,-0.01
08/03/2000,39.81,38.17,37.97,0.01
09/03/2000,40.22,38.53,38.07,0.01
10/03/2000,38.52,38.87,38.1,0.02
13/03/2000,37.94,39.0,38.15,0.02
14/03/2000,38.62,39.3,38.17,0.03
15/03/2000,38.88,39.02,38.13,0.02
16/03/2000,39.88,38.83,38.13,0.02
17/03/2000,38.56,38.77,38.11,0.02
20/03/2000,37.44,38.77,38.1,0.02
21/03/2000,38.5,38.67,38.14,0.01
22/03/2000,37.47,38.65,38.15,0.01
23/03/2000,37.75,38.37,38.22,0.0
24/03/2000,38.62,37.94,38.37,-0.01
27/03/2000,38.25,37.96,38.45,-0.01
28/03/2000,39.5,38.12,38.54,-0.01
29/03/2000,40.25,38.32,38.65,-0.01
30/03/2000,39.31,38.88,38.69,0.0
31/03/2000,39.0,39.19,38.75,0.01
03/04/2000,40.25,39.26,38.94,0.01
04/04/2000,41.25,39.66,39.0,0.02
05/04/2000,39.88,40.01,39.0,0.03
06/04/2000,40.88,39.94,39.04,0.02
07/04/2000,39.78,40.25,39.1,0.03
10/04/2000,39.12,40.41,39.16,0.03
11/04/2000,39.69,40.18,39.21,0.02
12/04/2000,39.97,39.87,39.27,0.02
13/04/2000,40.0,39.89,39.27,0.02
14/04/2000,39.38,39.71,39.31,0.01
17/04/2000,37.75,39.63,39.33,0.01
18/04/2000,38.09,39.36,39.31,0.0
19/04/2000,38.72,39.04,39.37,-0.01
