,BA,,,,Nividia,,,0, .IXIC,,,,GE,,,, NOK,,,,,36526,45809
Date,High,5-day Average,20-day Average,Porportional Diffrence,High,5-day Average,20-day Average,Porportional Diffrence,High,5-day Average,20-day Average,Porportional Diffrence,High,5-day Average,20-day Average,Porportional Diffrence,High,5-day Average,20-day Average,Porportional Diffrence,,,
27/12/1999, $41.94 ,0,0,0, $0.10 ,0,0,0," $4,090.61 ",0,0,0, $254.44 ,0,0,0, $46.91 ,0,0,0,,,
03/01/2000, $44.88 ,0,0,0, $0.10 ,0,0,0," $4,192.19 ",0,0,0, $245.17 ,0,0,0, $46.19 ,0,0,0,,,
10/01/2000, $44.50 ,0,0,0, $0.10 ,0,0,0," $4,091.95 ",0,0,0, $247.17 ,0,0,0, $44.25 ,0,0,0,,,
18/01/2000, $48.13 ,0,0,0, $0.10 ,0,0,0," $4,238.00 ",0,0,0, $240.78 ,0,0,0, $44.68 ,0,0,0,,,
24/01/2000, $46.88 ,0,0,0, $0.10 ,0,0,0," $4,303.15 ",0,0,0, $232.81 ,0,0,0, $45.24 ,0,0,0,,,
31/01/2000, $45.19 ,45.2625,0,0, $0.09 ,0.0984325,0,0," $4,294.84 ",4153.1875,0,0, $228.32 ,246.8915,0,0, $46.79 ,45.510025,0,0,,,
07/02/2000, $43.88 ,45.9125,0,0, $0.11 ,0.09799,0,0," $4,489.79 ",4183.18,0,0, $226.13 ,244.07486,0,0, $49.96 ,45.45542,0,0,,,
14/02/2000, $39.69 ,45.7125,0,0, $0.14 ,0.095334,0,0," $4,564.45 ",4224.026,0,0, $221.74 ,238.85038,0,0, $47.15 ,45.43148,0,0,,,
22/02/2000, $39.94 ,44.75,0,0, $0.14 ,0.09705,0,0," $4,662.93 ",4283.546,0,0, $212.07 ,235.0417,0,0, $49.46 ,46.18544,0,0,,,
28/02/2000, $37.63 ,43.1125,0,0, $0.13 ,0.106454,0,0," $4,914.79 ",4378.046,0,0, $224.13 ,229.9568,0,0, $52.99 ,46.76586,0,0,,,
06/03/2000, $36.19 ,41.2625,0,0, $0.30 ,0.114134,0,0," $5,132.52 ",4463.032,0,0, $222.54 ,224.21388,0,0, $54.35 ,47.72026,0,0,,,
13/03/2000, $38.94 ,39.4625,0,0, $0.31 ,0.12187,0,0," $5,027.73 ",4585.36,0,0, $225.63 ,222.47904,0,0, $52.15 ,49.27004,0,0,,,
20/03/2000, $37.69 ,38.475,0,0, $0.22 ,0.16518,0,0," $5,078.86 ",4752.896,0,0, $255.24 ,221.32248,0,0, $54.56 ,50.78092,0,0,,,
27/03/2000, $38.94 ,38.075,0,0, $0.20 ,0.20612,0,0," $5,022.23 ",4860.484,0,0, $263.02 ,221.22278,0,0, $55.86 ,51.21772,0,0,,,
03/04/2000, $38.25 ,37.875,0,0, $0.22 ,0.22232,0,0," $4,572.84 ",4963.366,0,0, $256.84 ,227.92288,0,0, $54.33 ,52.6987,0,0,,,
10/04/2000, $38.38 ,38,0,0, $0.23 ,0.23454,0,0," $4,475.20 ",5035.226,0,0, $261.42 ,238.1126,0,0, $53.97 ,53.97922,0,0,,,
17/04/2000, $40.25 ,38.4375,0,0, $0.19 ,0.25132,0,0," $3,851.56 ",4966.836,0,0, $252.85 ,244.65318,0,0, $50.26 ,54.2485,0,0,,,
24/04/2000, $41.25 ,38.7,0,0, $0.20 ,0.23688,0,0," $3,873.85 ",4835.372,0,0, $267.90 ,252.43006,0,0, $55.53 ,54.17372,0,0,,,
01/05/2000, $40.19 ,39.4125,0,0, $0.20 ,0.21178,0,0," $3,982.38 ",4600.138,0,0, $258.43 ,257.87388,0,0, $57.44 ,53.79674,0,0,,,
08/05/2000, $39.50 ,39.6625,0,0, $0.19 ,0.20714,0,0," $3,765.22 ",4359.136,0,0, $253.05 ,260.40636,0,0, $53.08 ,53.9912,0,0,,,
15/05/2000, $37.88 ,39.9125,40.95535714,0.027534182, $0.24 ,0.20772,0.17182381,-0.150319056," $3,729.12 ",4151.166,4397.819524,0.066142555, $264.12 ,259.48908,243.514881,-0.060481296, $54.69 ,54.30834,50.94505714,-0.061495756,,,
22/05/2000, $39.00 ,39.8125,40.81547619,0.025717338, $0.25 ,0.20272,0.178817619,-0.097282788," $3,390.95 ",3989.642,4364.502381,0.110547304, $248.26 ,258.73182,243.2206333,-0.062478372, $48.11 ,54.05702,51.00204286,-0.063500893,,,
30/05/2000, $40.56 ,39.5625,40.61011905,0.02582728, $0.28 ,0.2045,0.187288095,-0.062114416," $3,814.50 ",3840.426,4346.517143,0.132675617, $258.43 ,259.27076,243.8522143,-0.05966126, $56.73 ,54.20062,51.5035381,-0.047545947,,,
05/06/2000, $40.19 ,39.425,40.4047619,0.024379767, $0.29 ,0.21624,0.19674619,-0.066350611," $3,893.67 ",3748.304,4337.075238,0.151212414, $250.96 ,258.35398,244.0327476,-0.057066502, $56.01 ,53.7698,52.06344286,-0.030466474,,,
12/06/2000, $41.00 ,39.425,40.06547619,0.01562137, $0.31 ,0.23166,0.206841429,-0.079419429," $3,892.05 ",3736.434,4320.601429,0.150092478, $249.76 ,256.46012,244.4601714,-0.048045822, $57.32 ,54.00916,52.66537619,-0.023441865,,,
19/06/2000, $40.13 ,39.725,39.74404762,0.000474707, $0.37 ,0.24984,0.219721429,-0.082134092," $4,073.73 ",3718.692,4309.676667,0.145072125, $248.56 ,254.96506,245.2104429,-0.039243885, $59.84 ,53.72194,53.36062857,-0.006038231,,,
26/06/2000, $42.25 ,40.175,39.60416667,-0.013510848, $0.35 ,0.27358,0.232238095,-0.118662184," $3,974.48 ",3744.058,4294.421429,0.138474323, $254.14 ,254.30702,246.4396476,-0.030957453, $52.66 ,54.57162,53.63986667,-0.017694834,,,
03/07/2000, $44.06 ,40.825,39.61309524,-0.027504222, $0.28 ,0.29916,0.2402,-0.2144," $4,054.05 ",3812.98,4273.671905,0.11363745, $251.26 ,251.19622,247.6362143,-0.014168833, $52.06 ,55.60082,53.73959524,-0.035752562,,,
10/07/2000, $45.13 ,41.525,39.87202381,-0.036631051, $0.32 ,0.3197,0.248766667,-0.220221463," $4,252.22 ",3929.686,4258.80381,0.077399055, $258.43 ,252.37024,249.3835286,-0.011556924, $53.61 ,56.51034,54.04732857,-0.045939535,,,
17/07/2000, $47.31 ,42.5125,40.22321429,-0.048386488, $0.31 ,0.31928,0.257033333,-0.199189333," $4,289.06 ",3977.596,4241.000476,0.061413101, $262.02 ,250.9345,251.7623,0.00315925, $55.11 ,55.57688,54.3166,-0.022868362,,,
24/07/2000, $50.25 ,43.775,40.82440476,-0.058718313, $0.29 ,0.32494,0.264547619,-0.206328599," $4,125.80 ",4049.306,4203.429524,0.037356034, $261.43 ,252.43008,253.5381,0.004238371, $53.85 ,55.09818,54.35791905,-0.013745803,,,
